,Year,Month,Region,Min_Temp,Max_Temp,Precipitation,Malaria_Cases,Literacy_Rate
0,2003,1,Angul,13.6,27.1,2,805.0,78.96
1,2003,2,Angul,17.5,31.0,27,807.0,78.96
2,2003,3,Angul,20.6,34.9,47,1057.0,78.96
3,2003,4,Angul,26.3,40.0,6,1029.0,78.96
4,2003,5,Angul,28.5,41.400000000000006,14,707.0,78.96
5,2003,6,Angul,27.700000000000003,37.5,274,922.0,78.96
6,2003,7,Angul,25.3,31.4,318,2045.0,78.96
7,2003,8,Angul,25.4,31.3,340,1463.0,78.96
8,2003,9,Angul,24.9,31.6,248,1305.0,78.96
9,2003,10,Angul,22.4,30.9,341,1191.0,78.96
10,2003,11,Angul,17.6,28.6,6,1093.0,78.96
11,2003,12,Angul,14.4,26.5,13,435.0,78.96
12,2004,1,Angul,13.5,27.0,13,943.0,78.96
13,2004,2,Angul,16.400000000000002,30.0,6,986.0,78.96
14,2004,3,Angul,22.1,36.4,2,874.0,78.96
15,2004,4,Angul,25.4,39.1,71,996.0,78.96
16,2004,5,Angul,27.8,40.8,29,1023.0,78.96
17,2004,6,Angul,26.8,36.6,146,1034.0,78.96
18,2004,7,Angul,25.1,31.200000000000003,201,1883.0,78.96
19,2004,8,Angul,25.4,31.4,272,1677.0,78.96
20,2004,9,Angul,25.3,32.1,189,1804.0,78.96
21,2004,10,Angul,22.1,30.6,174,1468.0,78.96
22,2004,11,Angul,17.400000000000002,28.4,0,1418.0,78.96
23,2004,12,Angul,14.3,27.700000000000003,0,1436.0,78.96
24,2005,1,Angul,14.8,28.200000000000003,18,2081.0,78.96
25,2005,2,Angul,18.5,32.0,4,1216.0,78.96
26,2005,3,Angul,22.0,36.3,58,1421.0,78.96
27,2005,4,Angul,25.5,39.2,31,1358.0,78.96
28,2005,5,Angul,27.6,40.6,57,1049.0,78.96
29,2005,6,Angul,28.700000000000003,38.6,157,932.0,78.96
30,2005,7,Angul,25.200000000000003,31.4,277,1338.0,78.96
31,2005,8,Angul,25.9,31.9,249,2084.0,78.96
32,2005,9,Angul,24.8,32.2,476,2205.0,78.96
33,2005,10,Angul,22.5,31.0,189,1513.0,78.96
34,2005,11,Angul,16.7,27.700000000000003,1,2628.0,78.96
35,2005,12,Angul,13.2,26.700000000000003,1,1372.0,78.96
36,2006,1,Angul,14.3,27.700000000000003,0,1048.0,78.96
37,2006,2,Angul,18.9,32.5,0,746.0,78.96
38,2006,3,Angul,21.0,35.300000000000004,34,880.0,78.96
39,2006,4,Angul,25.0,38.6,34,1180.0,78.96
40,2006,5,Angul,26.0,39.0,78,1084.0,78.96
41,2006,6,Angul,26.3,36.2,240,1027.0,78.96
42,2006,7,Angul,25.6,31.700000000000003,392,1863.0,78.96
43,2006,8,Angul,25.0,31.0,552,1328.0,78.96
44,2006,9,Angul,25.200000000000003,31.9,325,1162.0,78.96
45,2006,10,Angul,23.4,31.9,63,1373.0,78.96
46,2006,11,Angul,18.4,29.4,10,1535.0,78.96
47,2006,12,Angul,14.9,28.4,0,2419.0,78.96
48,2007,1,Angul,14.8,28.3,0,1102.0,78.96
49,2007,2,Angul,17.1,30.700000000000003,94,1094.0,78.96
50,2007,3,Angul,21.0,35.300000000000004,4,1266.0,78.96
51,2007,4,Angul,25.4,39.1,31,1114.0,78.96
52,2007,5,Angul,27.4,40.3,46,873.0,78.96
53,2007,6,Angul,26.6,36.4,182,1076.0,78.96
54,2007,7,Angul,25.700000000000003,31.8,235,1933.0,78.96
55,2007,8,Angul,25.6,31.6,368,1622.0,78.96
56,2007,9,Angul,24.700000000000003,31.4,459,1301.0,78.96
57,2007,10,Angul,22.5,31.0,66,2750.0,78.96
58,2007,11,Angul,18.0,29.0,10,1248.0,78.96
59,2007,12,Angul,14.3,27.700000000000003,0,1091.0,78.96
60,2008,1,Angul,14.4,27.9,37,826.0,78.96
61,2008,2,Angul,15.6,29.200000000000003,47,961.0,78.96
62,2008,3,Angul,21.5,35.7,12,935.0,78.96
63,2008,4,Angul,25.1,38.8,41,875.0,78.96
64,2008,5,Angul,27.700000000000003,40.7,80,942.0,78.96
65,2008,6,Angul,25.1,34.9,425,1145.0,78.96
66,2008,7,Angul,25.1,31.200000000000003,238,1860.0,78.96
67,2008,8,Angul,25.1,31.1,314,1553.0,78.96
68,2008,9,Angul,24.700000000000003,31.5,442,1338.0,78.96
69,2008,10,Angul,23.0,31.5,28,1456.0,78.96
70,2008,11,Angul,18.3,29.3,2,1468.0,78.96
71,2008,12,Angul,15.6,29.0,0,1336.0,78.96
72,2009,1,Angul,16.400000000000002,29.9,1,1237.0,78.96
73,2009,2,Angul,19.200000000000003,32.7,0,994.0,78.96
74,2009,3,Angul,22.200000000000003,36.5,4,1182.0,78.96
75,2009,4,Angul,26.700000000000003,40.400000000000006,0,1213.0,78.96
76,2009,5,Angul,27.200000000000003,40.1,69,820.0,78.96
77,2009,6,Angul,28.4,38.2,89,1205.0,78.96
78,2009,7,Angul,25.200000000000003,31.3,426,1657.0,78.96
79,2009,8,Angul,26.1,32.1,303,1694.0,78.96
80,2009,9,Angul,25.6,32.4,213,1589.0,78.96
81,2009,10,Angul,22.1,30.700000000000003,87,1372.0,78.96
82,2009,11,Angul,18.3,29.3,17,1196.0,78.96
83,2009,12,Angul,14.5,28.0,0,1360.0,78.96
84,2010,1,Angul,13.6,27.0,7,1284.0,78.96
85,2010,2,Angul,18.1,31.700000000000003,2,1234.0,78.96
86,2010,3,Angul,23.3,37.6,7,1163.0,78.96
87,2010,4,Angul,27.700000000000003,41.3,3,1143.0,78.96
88,2010,5,Angul,27.0,39.900000000000006,137,1109.0,78.96
