,Year,Month,Min_Temp,Max_Temp,Precipitation,Malaria_Cases
0,2003,1,12.5,27.1,0,94.0
1,2003,2,18.2,30.5,18,98.0
2,2003,3,21.200000000000003,32.7,50,151.0
3,2003,4,25.3,36.300000000000004,23,167.0
4,2003,5,27.0,35.9,66,188.0
5,2003,6,27.400000000000002,34.300000000000004,326,148.0
6,2003,7,26.8,31.6,273,171.0
7,2003,8,26.6,31.900000000000002,285,267.0
8,2003,9,26.400000000000002,31.700000000000003,256,245.0
9,2003,10,24.0,31.200000000000003,482,215.0
10,2003,11,18.8,29.700000000000003,35,255.0
11,2003,12,14.4,25.8,17,115.0
12,2004,1,13.700000000000001,26.400000000000002,5,100.0
13,2004,2,16.900000000000002,29.8,3,88.0
14,2004,3,21.8,35.4,16,123.0
15,2004,4,24.8,35.5,112,139.0
16,2004,5,27.1,36.1,46,190.0
17,2004,6,26.400000000000002,33.0,192,111.0
18,2004,7,26.8,31.200000000000003,170,147.0
19,2004,8,26.1,31.400000000000002,318,183.0
20,2004,9,25.8,32.1,350,236.0
21,2004,10,23.1,30.400000000000002,346,145.0
22,2004,11,18.6,29.0,0,122.0
23,2004,12,14.8,28.6,0,124.0
24,2005,1,15.100000000000001,26.8,26,88.0
25,2005,2,18.8,30.700000000000003,0,128.0
26,2005,3,22.1,34.6,85,154.0
27,2005,4,24.5,35.9,75,182.0
28,2005,5,26.3,35.6,99,197.0
29,2005,6,27.6,35.0,191,180.0
30,2005,7,26.6,31.0,258,280.0
31,2005,8,27.0,31.3,281,378.0
32,2005,9,25.5,31.900000000000002,433,290.0
33,2005,10,24.5,29.6,260,263.0
34,2005,11,17.3,29.400000000000002,0,298.0
35,2005,12,14.600000000000001,27.700000000000003,0,260.0
36,2006,1,13.3,28.8,0,177.0
37,2006,2,18.7,33.300000000000004,0,237.0
38,2006,3,21.8,34.300000000000004,20,214.0
39,2006,4,24.900000000000002,35.1,37,162.0
40,2006,5,26.200000000000003,35.2,131,119.0
41,2006,6,26.3,33.6,215,168.0
42,2006,7,26.0,31.6,400,281.0
43,2006,8,26.200000000000003,31.1,501,166.0
44,2006,9,26.3,31.900000000000002,461,139.0
45,2006,10,24.700000000000003,31.1,139,200.0
46,2006,11,20.1,29.1,15,205.0
47,2006,12,15.3,28.5,0,125.0
48,2007,1,13.5,27.900000000000002,0,72.0
49,2007,2,17.900000000000002,29.3,87,51.0
50,2007,3,20.200000000000003,33.6,14,81.0
51,2007,4,24.3,36.300000000000004,49,126.0
52,2007,5,26.1,35.7,117,102.0
53,2007,6,26.1,34.0,210,57.0
54,2007,7,26.700000000000003,31.1,364,74.0
55,2007,8,27.200000000000003,31.6,416,96.0
56,2007,9,26.6,31.400000000000002,534,97.0
57,2007,10,24.3,31.1,106,120.0
58,2007,11,18.7,29.900000000000002,17,100.0
59,2007,12,14.5,28.1,0,72.0
60,2008,1,14.9,27.200000000000003,44,49.0
