,Year,Month,Min_Temp,Max_Temp,Precipitation,Malaria_Cases
0,2003,1,13.600000000000001,28.200000000000003,4,242.0
1,2003,2,16.5,31.200000000000003,22,250.0
2,2003,3,19.6,35.0,54,389.0
3,2003,4,26.1,40.900000000000006,7,289.0
4,2003,5,29.400000000000002,43.1,3,235.0
5,2003,6,29.700000000000003,40.1,168,321.0
6,2003,7,24.700000000000003,30.900000000000002,417,640.0
7,2003,8,24.700000000000003,30.6,374,677.0
8,2003,9,23.3,30.3,268,536.0
9,2003,10,21.400000000000002,31.0,164,535.0
10,2003,11,16.2,29.200000000000003,1,550.0
11,2003,12,14.200000000000001,27.400000000000002,16,543.0
12,2004,1,12.700000000000001,27.400000000000002,33,272.0
13,2004,2,14.600000000000001,29.400000000000002,9,337.0
14,2004,3,21.1,36.5,1,339.0
15,2004,4,24.900000000000002,39.7,37,195.0
16,2004,5,29.1,42.7,10,273.0
17,2004,6,27.200000000000003,37.7,165,322.0
18,2004,7,24.5,30.8,300,460.0
19,2004,8,24.900000000000002,30.8,383,657.0
20,2004,9,24.6,31.5,197,559.0
21,2004,10,21.1,30.6,76,527.0
22,2004,11,15.700000000000001,28.8,0,393.0
23,2004,12,12.9,27.900000000000002,0,449.0
24,2005,1,13.700000000000001,28.400000000000002,22,382.0
25,2005,2,17.6,32.300000000000004,15,445.0
26,2005,3,21.5,36.9,36,492.0
27,2005,4,25.200000000000003,39.900000000000006,16,432.0
28,2005,5,29.0,42.6,24,327.0
29,2005,6,30.6,41.1,151,286.0
30,2005,7,24.900000000000002,31.1,325,414.0
31,2005,8,25.5,31.400000000000002,293,710.0
32,2005,9,23.8,31.6,430,837.0
33,2005,10,22.1,31.700000000000003,91,570.0
34,2005,11,15.0,28.0,0,533.0
35,2005,12,12.0,27.0,2,315.0
36,2006,1,13.4,28.1,0,234.0
37,2006,2,18.1,32.800000000000004,0,164.0
38,2006,3,19.6,35.0,61,200.0
39,2006,4,24.400000000000002,39.1,33,196.0
40,2006,5,26.6,40.300000000000004,42,185.0
41,2006,6,27.3,37.800000000000004,192,245.0
42,2006,7,25.1,31.400000000000002,496,563.0
43,2006,8,24.6,30.5,522,536.0
44,2006,9,24.200000000000003,31.200000000000003,319,435.0
45,2006,10,22.700000000000003,32.300000000000004,14,346.0
46,2006,11,17.1,30.1,7,474.0
47,2006,12,14.200000000000001,29.200000000000003,0,493.0
48,2007,1,14.100000000000001,28.8,0,237.0
49,2007,2,16.400000000000002,31.1,66,196.0
50,2007,3,20.1,35.5,10,236.0
51,2007,4,25.400000000000002,40.1,14,180.0
52,2007,5,27.5,41.1,17,157.0
53,2007,6,27.900000000000002,38.400000000000006,186,216.0
54,2007,7,25.5,31.700000000000003,280,564.0
55,2007,8,25.3,31.200000000000003,411,558.0
56,2007,9,23.700000000000003,30.700000000000003,380,528.0
57,2007,10,21.6,31.200000000000003,33,375.0
58,2007,11,16.2,29.200000000000003,1,269.0
59,2007,12,13.600000000000001,28.6,1,242.0
60,2008,1,13.9,28.5,26,180.0
61,2008,2,14.600000000000001,29.3,26,124.0
62,2008,3,20.700000000000003,36.1,22,114.0
63,2008,4,24.700000000000003,39.400000000000006,22,126.0
64,2008,5,29.0,42.6,28,125.0
65,2008,6,26.3,36.800000000000004,380,163.0
66,2008,7,25.0,31.200000000000003,332,536.0
67,2008,8,24.900000000000002,30.8,352,479.0
68,2008,9,24.0,30.900000000000002,346,341.0
69,2008,10,22.400000000000002,31.900000000000002,9,168.0
70,2008,11,16.900000000000002,29.900000000000002,0,236.0
71,2008,12,14.700000000000001,29.700000000000003,0,261.0
72,2009,1,15.9,30.6,2,151.0
73,2009,2,18.400000000000002,33.1,0,126.0
74,2009,3,21.3,36.800000000000004,8,142.0
75,2009,4,26.3,41.1,1,113.0
76,2009,5,28.0,41.6,33,144.0
77,2009,6,29.8,40.300000000000004,76,145.0
78,2009,7,24.700000000000003,31.0,495,301.0
79,2009,8,25.700000000000003,31.700000000000003,295,468.0
80,2009,9,25.1,32.0,242,360.0
81,2009,10,21.200000000000003,30.8,41,289.0
82,2009,11,16.6,29.6,4,222.0
83,2009,12,13.600000000000001,28.6,1,0.0
84,2010,1,12.700000000000001,27.3,13,98.0
85,2010,2,17.1,31.8,4,129.0
86,2010,3,22.700000000000003,38.1,13,141.0
87,2010,4,27.900000000000002,42.6,9,102.0
88,2010,5,28.700000000000003,42.300000000000004,38,98.0
89,2010,6,28.8,39.300000000000004,182,72.0
90,2010,7,25.200000000000003,31.5,386,237.0
91,2010,8,25.400000000000002,31.3,352,478.0
92,2010,9,24.6,31.6,393,275.0
93,2010,10,22.5,32.0,67,192.0
94,2010,11,18.3,31.3,9,120.0
95,2010,12,12.700000000000001,27.6,19,110.0
96,2011,1,12.4,27.1,0,62.0
97,2011,2,16.2,30.900000000000002,21,69.0
98,2011,3,21.200000000000003,36.6,1,60.0
99,2011,4,22.900000000000002,37.6,30,54.0
100,2011,5,28.700000000000003,42.400000000000006,37,48.0
101,2011,6,26.8,37.2,282,39.0
102,2011,7,25.400000000000002,31.700000000000003,334,114.0
103,2011,8,24.8,30.700000000000003,391,332.0
104,2011,9,23.8,30.8,378,177.0
105,2011,10,22.3,31.900000000000002,19,100.0
106,2011,11,16.400000000000002,29.400000000000002,0,115.0
107,2011,12,13.5,28.5,0,55.0
108,2012,1,13.200000000000001,27.900000000000002,41,42.0
109,2012,2,16.400000000000002,31.1,0,46.0
110,2012,3,20.700000000000003,36.1,1,29.0
111,2012,4,25.8,40.5,43,44.0
112,2012,5,29.5,43.1,10,24.0
113,2012,6,30.5,40.900000000000006,164,24.0
114,2012,7,24.900000000000002,31.200000000000003,559,88.0
115,2012,8,24.8,30.700000000000003,433,160.0
116,2012,9,24.1,31.0,290,142.0
117,2012,10,21.200000000000003,32.2,20,172.0
118,2012,11,16.0,29.0,12,108.0
119,2012,12,13.4,28.400000000000002,0,66.0
120,2013,1,13.700000000000001,28.3,1,25.0
121,2013,2,16.3,31.0,8,15.0
122,2013,3,20.700000000000003,36.1,7,17.0
123,2013,4,25.200000000000003,39.0,40,13.0
124,2013,5,29.5,41.6,16,15.0
125,2013,6,25.6,36.6,307,25.0
126,2013,7,24.3,30.900000000000002,349,231.0
127,2013,8,24.5,30.8,272,276.0
128,2013,9,24.5,31.700000000000003,288,170.0
129,2013,10,22.400000000000002,30.8,147,85.0
130,2013,11,14.8,29.8,0,60.0
131,2013,12,13.5,27.6,0,49.0
