,Year,Month,Min_Temp,Max_Temp,Precipitation,Malaria_Cases
0,2003,1,13.8,26.400000000000002,0,50.0
1,2003,2,18.1,30.8,24,73.0
2,2003,3,20.900000000000002,33.7,45,86.0
3,2003,4,25.5,37.6,13,86.0
4,2003,5,27.200000000000003,37.7,44,139.0
5,2003,6,26.900000000000002,35.2,342,94.0
6,2003,7,26.0,31.8,310,89.0
7,2003,8,26.3,31.8,367,122.0
8,2003,9,25.8,31.8,274,111.0
9,2003,10,23.5,30.6,500,102.0
10,2003,11,18.3,29.1,25,140.0
11,2003,12,14.700000000000001,26.1,26,54.0
12,2004,1,14.0,26.6,7,28.0
13,2004,2,17.0,29.700000000000003,4,37.0
14,2004,3,22.400000000000002,35.2,7,70.0
15,2004,4,24.8,36.9,116,96.0
16,2004,5,26.900000000000002,37.4,54,101.0
17,2004,6,25.900000000000002,34.2,171,74.0
18,2004,7,25.900000000000002,31.700000000000003,191,180.0
19,2004,8,25.8,31.3,321,193.0
20,2004,9,25.8,31.700000000000003,291,56.0
21,2004,10,22.8,29.900000000000002,300,43.0
22,2004,11,18.0,28.8,0,36.0
23,2004,12,15.3,27.900000000000002,0,65.0
24,2005,1,15.0,27.6,21,50.0
25,2005,2,18.5,31.3,0,40.0
26,2005,3,22.200000000000003,35.0,72,132.0
27,2005,4,24.8,36.9,60,52.0
28,2005,5,26.5,37.0,106,50.0
29,2005,6,27.6,35.9,183,48.0
30,2005,7,25.700000000000003,31.5,286,46.0
31,2005,8,26.3,31.8,309,96.0
32,2005,9,25.200000000000003,32.0,502,67.0
33,2005,10,23.1,30.200000000000003,278,51.0
34,2005,11,17.400000000000002,28.3,0,41.0
35,2005,12,14.600000000000001,27.3,0,41.0
36,2006,1,14.9,27.5,0,13.0
37,2006,2,19.400000000000002,32.1,0,25.0
38,2006,3,21.8,34.6,24,165.0
39,2006,4,24.700000000000003,36.7,33,46.0
40,2006,5,26.0,36.6,138,51.0
41,2006,6,26.0,34.300000000000004,254,69.0
42,2006,7,25.8,31.6,417,71.0
43,2006,8,25.700000000000003,31.200000000000003,625,45.0
44,2006,9,26.0,31.900000000000002,416,58.0
45,2006,10,24.0,31.1,122,83.0
46,2006,11,18.8,29.6,13,77.0
47,2006,12,15.600000000000001,28.200000000000003,0,54.0
48,2007,1,14.700000000000001,27.3,0,24.0
49,2007,2,17.400000000000002,30.1,94,32.0
50,2007,3,20.900000000000002,33.7,7,70.0
51,2007,4,24.900000000000002,37.0,51,70.0
52,2007,5,26.400000000000002,36.9,112,86.0
53,2007,6,26.1,34.4,205,57.0
54,2007,7,25.900000000000002,31.700000000000003,312,76.0
55,2007,8,26.400000000000002,31.900000000000002,446,103.0
56,2007,9,25.8,31.700000000000003,550,74.0
57,2007,10,23.5,30.6,102,96.0
58,2007,11,18.5,29.3,20,43.0
59,2007,12,14.9,27.6,0,33.0
60,2008,1,14.9,27.5,43,24.0
61,2008,2,16.1,28.8,46,26.0
62,2008,3,21.8,34.7,9,12.0
63,2008,4,24.8,36.9,71,39.0
64,2008,5,26.5,37.0,152,43.0
65,2008,6,24.8,33.1,489,70.0
66,2008,7,25.400000000000002,31.1,243,105.0
67,2008,8,26.0,31.5,367,75.0
68,2008,9,25.700000000000003,31.700000000000003,505,68.0
69,2008,10,23.5,30.6,71,61.0
70,2008,11,18.8,29.6,4,60.0
71,2008,12,16.0,28.6,0,96.0
72,2009,1,16.400000000000002,29.0,0,78.0
73,2009,2,19.200000000000003,31.900000000000002,0,47.0
74,2009,3,22.200000000000003,35.0,9,51.0
75,2009,4,26.200000000000003,38.2,0,55.0
76,2009,5,26.5,37.0,140,71.0
77,2009,6,27.5,35.9,101,73.0
78,2009,7,26.0,31.700000000000003,419,74.0
79,2009,8,26.5,32.0,362,71.0
80,2009,9,26.3,32.2,280,63.0
81,2009,10,23.3,30.400000000000002,120,59.0
82,2009,11,19.1,29.900000000000002,50,80.0
83,2009,12,15.200000000000001,27.8,0,108.0
84,2010,1,13.8,26.400000000000002,5,52.0
85,2010,2,18.3,31.0,5,36.0
86,2010,3,23.200000000000003,36.0,6,37.0
87,2010,4,26.5,38.6,4,67.0
88,2010,5,26.700000000000003,37.2,266,48.0
89,2010,6,26.700000000000003,35.0,261,60.0
90,2010,7,26.5,32.2,253,83.0
91,2010,8,26.700000000000003,32.2,300,59.0
92,2010,9,26.0,31.900000000000002,357,52.0
93,2010,10,23.900000000000002,31.0,183,42.0
94,2010,11,19.8,30.6,38,48.0
95,2010,12,14.4,27.0,41,71.0
96,2011,1,13.9,26.5,0,70.0
97,2011,2,17.7,30.400000000000002,46,19.0
98,2011,3,21.8,34.6,8,39.0
99,2011,4,24.1,36.2,46,44.0
100,2011,5,26.200000000000003,36.7,179,45.0
101,2011,6,25.8,34.1,339,50.0
102,2011,7,26.200000000000003,31.900000000000002,322,113.0
103,2011,8,26.0,31.5,463,116.0
104,2011,9,25.6,31.6,360,72.0
105,2011,10,23.8,31.0,37,43.0
106,2011,11,18.6,29.400000000000002,0,96.0
107,2011,12,14.8,27.5,0,54.0
108,2012,1,13.700000000000001,26.3,48,21.0
109,2012,2,17.0,29.8,4,19.0
110,2012,3,22.0,34.800000000000004,0,33.0
111,2012,4,24.3,36.4,124,26.0
112,2012,5,27.1,37.6,35,31.0
113,2012,6,27.200000000000003,35.6,215,18.0
114,2012,7,25.700000000000003,31.400000000000002,396,53.0
115,2012,8,26.0,31.5,265,37.0
116,2012,9,25.5,31.5,219,41.0
117,2012,10,22.1,30.3,97,21.0
118,2012,11,17.8,28.6,120,26.0
119,2012,12,14.600000000000001,27.200000000000003,8,24.0
120,2013,1,14.0,26.6,5,11.0
121,2013,2,16.8,29.5,7,17.0
122,2013,3,21.400000000000002,34.300000000000004,2,21.0
123,2013,4,24.400000000000002,36.2,68,24.0
124,2013,5,26.5,35.5,98,24.0
125,2013,6,25.400000000000002,34.300000000000004,326,20.0
126,2013,7,25.6,31.900000000000002,292,37.0
127,2013,8,25.5,31.3,276,32.0
128,2013,9,25.5,31.700000000000003,349,34.0
129,2013,10,23.0,29.1,293,34.0
130,2013,11,16.2,28.3,1,19.0
131,2013,12,14.100000000000001,25.8,0,19.0
