,Year,Month,Min_Temp,Max_Temp,Precipitation,Malaria_Cases
0,2003,1,13.100000000000001,27.0,5,187.0
1,2003,2,16.5,30.200000000000003,24,125.0
2,2003,3,19.900000000000002,34.1,44,200.0
3,2003,4,25.8,39.0,4,162.0
4,2003,5,28.8,41.2,9,121.0
5,2003,6,28.200000000000003,37.6,221,116.0
6,2003,7,24.0,29.900000000000002,459,367.0
7,2003,8,23.900000000000002,29.8,380,490.0
8,2003,9,23.3,30.1,249,570.0
9,2003,10,20.900000000000002,29.8,233,515.0
10,2003,11,15.8,27.8,2,490.0
11,2003,12,13.600000000000001,25.900000000000002,22,578.0
12,2004,1,12.4,26.200000000000003,33,382.0
13,2004,2,15.0,28.6,9,252.0
14,2004,3,21.200000000000003,35.5,0,357.0
15,2004,4,25.0,38.2,38,257.0
16,2004,5,28.5,40.800000000000004,22,226.0
17,2004,6,26.700000000000003,36.1,174,204.0
18,2004,7,23.900000000000002,29.700000000000003,305,377.0
19,2004,8,24.1,30.0,307,484.0
20,2004,9,24.200000000000003,31.0,175,483.0
21,2004,10,20.6,29.5,108,391.0
22,2004,11,15.5,27.5,0,324.0
23,2004,12,12.600000000000001,26.8,0,401.0
24,2005,1,13.600000000000001,27.5,22,244.0
25,2005,2,17.5,31.200000000000003,12,215.0
26,2005,3,21.5,35.7,36,253.0
27,2005,4,25.200000000000003,38.400000000000006,16,204.0
28,2005,5,28.400000000000002,40.7,44,177.0
29,2005,6,29.400000000000002,38.7,161,157.0
30,2005,7,24.3,30.1,356,252.0
31,2005,8,24.6,30.400000000000002,259,439.0
32,2005,9,23.6,31.1,486,549.0
33,2005,10,21.3,30.200000000000003,138,462.0
34,2005,11,14.700000000000001,26.700000000000003,1,346.0
35,2005,12,11.600000000000001,25.8,1,274.0
36,2006,1,13.0,26.8,0,168.0
37,2006,2,17.900000000000002,31.5,0,215.0
38,2006,3,19.900000000000002,34.2,38,250.0
39,2006,4,24.3,37.5,31,181.0
40,2006,5,26.200000000000003,38.5,60,194.0
41,2006,6,26.400000000000002,35.7,225,206.0
42,2006,7,24.700000000000003,30.5,516,311.0
43,2006,8,23.8,29.6,546,295.0
44,2006,9,23.8,30.6,338,352.0
45,2006,10,22.1,31.0,29,305.0
46,2006,11,16.6,28.6,12,335.0
47,2006,12,13.700000000000001,27.900000000000002,0,290.0
48,2007,1,13.9,27.700000000000003,0,123.0
49,2007,2,16.3,29.900000000000002,73,180.0
50,2007,3,20.400000000000002,34.6,3,175.0
51,2007,4,25.1,38.300000000000004,16,120.0
52,2007,5,27.5,39.900000000000006,29,122.0
53,2007,6,26.900000000000002,36.2,199,156.0
54,2007,7,24.900000000000002,30.700000000000003,270,231.0
55,2007,8,24.400000000000002,30.200000000000003,393,385.0
56,2007,9,23.400000000000002,30.1,422,291.0
57,2007,10,21.0,30.0,51,0.0
58,2007,11,16.0,28.0,3,297.0
59,2007,12,13.200000000000001,27.400000000000002,1,227.0
60,2008,1,13.5,27.400000000000002,34,126.0
61,2008,2,14.700000000000001,28.3,39,179.0
62,2008,3,20.6,34.800000000000004,11,161.0
63,2008,4,24.6,37.800000000000004,22,213.0
64,2008,5,28.400000000000002,40.7,53,213.0
65,2008,6,25.400000000000002,34.800000000000004,406,251.0
66,2008,7,24.1,30.0,342,671.0
67,2008,8,23.900000000000002,29.700000000000003,333,587.0
68,2008,9,23.400000000000002,30.1,429,320.0
69,2008,10,21.700000000000003,30.700000000000003,12,356.0
70,2008,11,16.5,28.5,1,356.0
71,2008,12,14.4,28.5,0,504.0
72,2009,1,15.4,29.3,1,496.0
73,2009,2,18.400000000000002,32.0,0,155.0
74,2009,3,21.5,35.7,5,171.0
75,2009,4,26.200000000000003,39.400000000000006,1,102.0
76,2009,5,27.6,39.900000000000006,56,85.0
77,2009,6,28.700000000000003,38.0,89,231.0
78,2009,7,24.0,29.900000000000002,555,303.0
79,2009,8,24.8,30.6,313,597.0
80,2009,9,24.6,31.3,214,518.0
81,2009,10,20.700000000000003,29.6,55,370.0
82,2009,11,16.400000000000002,28.400000000000002,7,382.0
83,2009,12,13.100000000000001,27.3,0,441.0
84,2010,1,12.5,26.400000000000002,15,223.0
85,2010,2,17.2,30.8,3,175.0
86,2010,3,22.8,37.0,10,191.0
87,2010,4,27.5,40.7,6,235.0
88,2010,5,27.700000000000003,40.0,89,123.0
89,2010,6,27.5,36.9,222,135.0
90,2010,7,24.5,30.400000000000002,397,268.0
91,2010,8,24.5,30.3,328,279.0
92,2010,9,24.200000000000003,30.900000000000002,353,202.0
93,2010,10,21.8,30.700000000000003,98,230.0
94,2010,11,17.8,29.8,17,360.0
95,2010,12,12.100000000000001,26.3,27,256.0
96,2011,1,12.0,25.900000000000002,0,116.0
97,2011,2,16.0,29.6,34,132.0
98,2011,3,21.200000000000003,35.4,1,127.0
99,2011,4,22.900000000000002,36.2,21,104.0
100,2011,5,28.1,40.400000000000006,76,115.0
101,2011,6,25.900000000000002,35.300000000000004,228,143.0
102,2011,7,24.700000000000003,30.5,397,209.0
103,2011,8,23.900000000000002,29.700000000000003,391,299.0
104,2011,9,23.5,30.3,348,207.0
105,2011,10,21.700000000000003,30.700000000000003,17,165.0
106,2011,11,16.1,28.1,0,197.0
107,2011,12,13.100000000000001,27.3,0,76.0
108,2012,1,13.200000000000001,27.1,46,38.0
109,2012,2,16.6,30.200000000000003,0,69.0
110,2012,3,21.200000000000003,35.4,0,60.0
111,2012,4,25.5,38.800000000000004,46,48.0
112,2012,5,28.8,41.2,19,80.0
113,2012,6,29.6,38.900000000000006,190,94.0
114,2012,7,24.400000000000002,30.200000000000003,590,123.0
115,2012,8,24.0,29.8,341,300.0
116,2012,9,23.8,30.5,232,318.0
117,2012,10,20.5,30.8,30,180.0
118,2012,11,15.600000000000001,27.6,30,146.0
119,2012,12,13.100000000000001,27.3,0,124.0
120,2013,1,13.5,27.400000000000002,1,63.0
121,2013,2,16.0,29.700000000000003,6,98.0
