,Year,Month,Min_Temp,Max_Temp,Precipitation,Malaria_Cases
0,2003,1,14.4,27.1,1,262.0
1,2003,2,18.400000000000002,30.900000000000002,23,184.0
2,2003,3,21.0,34.1,40,266.0
3,2003,4,25.3,37.800000000000004,6,239.0
4,2003,5,26.900000000000002,38.300000000000004,26,259.0
5,2003,6,26.400000000000002,35.6,321,264.0
6,2003,7,25.5,31.700000000000003,358,305.0
7,2003,8,25.6,31.700000000000003,418,245.0
8,2003,9,25.200000000000003,31.900000000000002,272,304.0
9,2003,10,23.6,32.0,522,262.0
10,2003,11,18.900000000000002,29.900000000000002,16,250.0
11,2003,12,15.8,27.200000000000003,25,215.0
12,2004,1,14.8,27.5,9,161.0
13,2004,2,17.6,30.1,4,152.0
14,2004,3,22.0,35.1,2,267.0
15,2004,4,24.5,37.0,99,193.0
16,2004,5,26.400000000000002,37.800000000000004,53,273.0
17,2004,6,26.3,35.6,151,328.0
18,2004,7,25.3,31.5,219,316.0
19,2004,8,25.5,31.6,303,421.0
20,2004,9,25.5,32.2,223,439.0
21,2004,10,23.400000000000002,31.8,266,302.0
22,2004,11,18.900000000000002,29.900000000000002,0,286.0
23,2004,12,15.9,28.700000000000003,0,298.0
24,2005,1,16.1,28.700000000000003,15,221.0
25,2005,2,19.400000000000002,31.900000000000002,1,193.0
26,2005,3,22.1,35.2,55,252.0
27,2005,4,24.6,37.2,43,189.0
28,2005,5,26.1,37.5,98,105.0
29,2005,6,27.6,36.800000000000004,167,98.0
30,2005,7,25.5,31.700000000000003,318,171.0
31,2005,8,26.0,32.1,297,322.0
32,2005,9,25.0,32.4,550,196.0
33,2005,10,23.5,31.900000000000002,300,144.0
34,2005,11,18.1,29.1,1,124.0
35,2005,12,14.700000000000001,27.400000000000002,0,116.0
36,2006,1,15.4,28.0,0,112.0
37,2006,2,19.5,32.0,0,164.0
38,2006,3,21.400000000000002,34.5,23,176.0
39,2006,4,24.400000000000002,36.9,38,105.0
40,2006,5,25.200000000000003,36.5,123,124.0
41,2006,6,25.6,34.800000000000004,261,247.0
42,2006,7,25.900000000000002,32.2,441,281.0
43,2006,8,25.1,31.200000000000003,684,196.0
44,2006,9,25.400000000000002,32.1,374,139.0
45,2006,10,24.5,32.9,109,230.0
46,2006,11,19.700000000000003,30.700000000000003,16,209.0
47,2006,12,16.400000000000002,29.1,0,281.0
48,2007,1,15.8,28.5,0,213.0
49,2007,2,17.900000000000002,30.5,79,199.0
50,2007,3,21.200000000000003,34.300000000000004,2,216.0
51,2007,4,24.5,37.0,44,190.0
52,2007,5,26.0,37.300000000000004,86,121.0
53,2007,6,25.700000000000003,35.0,191,178.0
54,2007,7,25.8,32.0,263,279.0
55,2007,8,25.8,31.900000000000002,445,240.0
56,2007,9,24.8,31.6,536,315.0
57,2007,10,23.6,32.0,103,253.0
58,2007,11,19.3,30.3,25,221.0
59,2007,12,15.5,28.3,0,153.0
60,2008,1,15.4,28.1,35,96.0
61,2008,2,16.6,29.1,42,130.0
62,2008,3,21.400000000000002,34.6,7,84.0
63,2008,4,24.200000000000003,36.7,57,105.0
64,2008,5,26.0,37.300000000000004,142,139.0
65,2008,6,24.400000000000002,33.7,449,145.0
66,2008,7,25.200000000000003,31.5,264,228.0
67,2008,8,25.400000000000002,31.5,379,225.0
68,2008,9,24.900000000000002,31.700000000000003,528,189.0
69,2008,10,24.1,32.5,47,210.0
70,2008,11,19.5,30.5,6,177.0
71,2008,12,16.900000000000002,29.700000000000003,0,169.0
72,2009,1,17.3,30.0,0,148.0
