,Year,Month,Min_Temp,Max_Temp,Precipitation,Malaria_Cases
0,2003,1,13.600000000000001,26.1,1,1194.0
1,2003,2,17.8,30.200000000000003,25,1047.0
2,2003,3,21.0,33.9,44,1251.0
3,2003,4,25.900000000000002,38.300000000000004,7,1198.0
4,2003,5,27.5,38.800000000000004,23,1155.0
5,2003,6,26.5,35.6,300,1403.0
6,2003,7,25.1,31.400000000000002,337,1863.0
7,2003,8,25.3,31.3,363,1633.0
8,2003,9,24.8,31.400000000000002,269,1638.0
9,2003,10,22.3,30.3,463,1262.0
10,2003,11,17.400000000000002,28.200000000000003,12,1481.0
11,2003,12,14.600000000000001,26.0,19,1253.0
12,2004,1,13.8,26.3,11,1075.0
13,2004,2,17.0,29.3,5,1107.0
14,2004,3,22.3,35.2,2,1513.0
15,2004,4,25.1,37.4,110,1385.0
16,2004,5,26.8,38.2,47,1149.0
17,2004,6,26.200000000000003,35.300000000000004,147,1191.0
18,2004,7,24.900000000000002,31.1,209,1776.0
19,2004,8,25.3,31.400000000000002,271,1965.0
20,2004,9,25.200000000000003,31.8,212,1805.0
21,2004,10,22.1,30.0,236,1505.0
22,2004,11,17.3,28.1,0,1302.0
23,2004,12,14.600000000000001,27.3,0,1451.0
24,2005,1,15.0,27.6,17,1050.0
25,2005,2,18.900000000000002,31.3,2,1023.0
26,2005,3,22.3,35.2,59,1232.0
27,2005,4,25.3,37.6,47,1164.0
28,2005,5,26.6,38.0,90,858.0
29,2005,6,27.8,36.800000000000004,161,709.0
30,2005,7,25.1,31.3,298,903.0
31,2005,8,25.8,31.8,259,1620.0
32,2005,9,24.8,32.0,532,1601.0
33,2005,10,22.400000000000002,30.3,263,1447.0
34,2005,11,16.6,27.400000000000002,1,1297.0
35,2005,12,13.4,26.1,0,1016.0
36,2006,1,14.4,26.900000000000002,0,759.0
37,2006,2,19.1,31.5,0,853.0
38,2006,3,21.400000000000002,34.4,28,1085.0
39,2006,4,24.900000000000002,37.2,48,1160.0
40,2006,5,25.3,36.6,117,929.0
41,2006,6,25.5,34.6,250,924.0
42,2006,7,25.6,31.8,416,1560.0
43,2006,8,24.900000000000002,30.900000000000002,592,1291.0
44,2006,9,25.1,31.6,363,1175.0
45,2006,10,23.3,31.200000000000003,93,1278.0
46,2006,11,18.2,29.1,14,1406.0
47,2006,12,15.100000000000001,27.900000000000002,0,1319.0
48,2007,1,14.9,27.5,0,1003.0
49,2007,2,17.5,29.8,86,895.0
50,2007,3,21.3,34.300000000000004,3,1211.0
51,2007,4,25.1,37.4,49,1056.0
52,2007,5,26.400000000000002,37.800000000000004,75,755.0
53,2007,6,25.700000000000003,34.7,185,909.0
54,2007,7,25.5,31.700000000000003,248,1160.0
55,2007,8,25.5,31.6,388,1004.0
56,2007,9,24.5,31.1,518,972.0
57,2007,10,22.400000000000002,30.3,91,990.0
58,2007,11,17.900000000000002,28.700000000000003,18,894.0
59,2007,12,14.3,27.1,0,856.0
60,2008,1,14.4,27.0,38,569.0
61,2008,2,16.0,28.3,45,482.0
62,2008,3,21.6,34.6,9,625.0
63,2008,4,24.8,37.1,64,690.0
64,2008,5,26.6,37.9,129,472.0
65,2008,6,24.3,33.4,435,613.0
66,2008,7,24.900000000000002,31.1,250,1052.0
67,2008,8,25.1,31.1,331,932.0
68,2008,9,24.6,31.200000000000003,507,757.0
69,2008,10,22.900000000000002,30.900000000000002,40,704.0
70,2008,11,18.1,28.900000000000002,4,598.0
71,2008,12,15.8,28.5,0,756.0
72,2009,1,16.5,29.1,0,720.0
73,2009,2,19.5,31.900000000000002,0,627.0
74,2009,3,22.5,35.4,3,636.0
75,2009,4,26.3,38.7,0,568.0
76,2009,5,26.1,37.5,108,501.0
77,2009,6,27.400000000000002,36.5,94,514.0
78,2009,7,25.0,31.200000000000003,459,844.0
79,2009,8,25.900000000000002,31.900000000000002,327,1099.0
80,2009,9,25.400000000000002,32.0,228,938.0
81,2009,10,22.1,30.0,119,1027.0
82,2009,11,18.1,29.0,30,872.0
83,2009,12,14.700000000000001,27.5,0,1046.0
84,2010,1,13.700000000000001,26.3,6,872.0
85,2010,2,18.5,30.8,2,830.0
86,2010,3,23.400000000000002,36.4,6,951.0
87,2010,4,27.200000000000003,39.5,3,1008.0
88,2010,5,26.0,37.4,231,662.0
89,2010,6,26.400000000000002,35.5,235,796.0
90,2010,7,25.6,31.8,278,1444.0
91,2010,8,25.8,31.900000000000002,277,1706.0
92,2010,9,25.400000000000002,31.900000000000002,328,1067.0
93,2010,10,22.900000000000002,30.900000000000002,179,682.0
94,2010,11,19.3,30.1,46,577.0
95,2010,12,13.600000000000001,26.3,32,506.0
96,2011,1,13.5,26.1,0,0.0
97,2011,2,17.5,29.8,44,365.0
98,2011,3,21.900000000000002,34.9,3,391.0
99,2011,4,23.900000000000002,36.2,43,328.0
100,2011,5,26.200000000000003,37.6,160,319.0
101,2011,6,25.1,34.2,254,297.0
102,2011,7,25.400000000000002,31.6,361,434.0
103,2011,8,25.0,31.0,410,418.0
104,2011,9,24.700000000000003,31.200000000000003,340,336.0
105,2011,10,23.0,31.0,33,214.0
106,2011,11,17.900000000000002,28.700000000000003,0,163.0
107,2011,12,14.4,27.1,0,234.0
108,2012,1,14.5,27.0,42,176.0
109,2012,2,17.8,30.1,1,141.0
110,2012,3,22.5,35.4,0,176.0
111,2012,4,25.3,37.6,119,240.0
112,2012,5,27.200000000000003,38.5,27,141.0
113,2012,6,27.8,36.9,204,109.0
114,2012,7,25.1,31.3,460,213.0
115,2012,8,25.3,31.3,245,244.0
116,2012,9,25.1,31.700000000000003,183,184.0
117,2012,10,21.700000000000003,30.6,67,120.0
118,2012,11,17.400000000000002,28.200000000000003,124,177.0
119,2012,12,14.3,27.1,1,208.0
120,2013,1,14.4,26.900000000000002,2,140.0
121,2013,2,17.1,29.5,5,118.0
122,2013,3,22.0,35.0,1,118.0
123,2013,4,24.700000000000003,36.7,71,201.0
124,2013,5,26.8,36.7,74,124.0
125,2013,6,24.8,34.300000000000004,308,214.0
126,2013,7,24.900000000000002,31.400000000000002,298,514.0
127,2013,8,24.900000000000002,31.1,168,292.0
128,2013,9,25.200000000000003,31.900000000000002,318,259.0
129,2013,10,22.6,29.3,365,150.0
130,2013,11,16.1,28.3,1,128.0
131,2013,12,14.200000000000001,26.0,0,246.0
