,Year,Month,Min_Temp,Max_Temp,Precipitation,Malaria_Cases
0,2003,1,12.5,23.6,18,757.0
1,2003,2,15.3,26.0,21,652.0
2,2003,3,18.1,28.400000000000002,101,783.0
3,2003,4,22.0,31.0,7,997.0
4,2003,5,24.0,32.0,40,1073.0
5,2003,6,23.1,29.8,171,1043.0
6,2003,7,20.400000000000002,25.400000000000002,519,1157.0
7,2003,8,20.900000000000002,26.200000000000003,434,1156.0
8,2003,9,20.400000000000002,26.5,272,1161.0
9,2003,10,18.5,26.1,723,822.0
10,2003,11,14.3,24.200000000000003,8,894.0
11,2003,12,12.600000000000001,22.6,78,801.0
12,2004,1,11.700000000000001,22.8,65,533.0
13,2004,2,14.0,24.6,12,612.0
14,2004,3,18.7,29.0,1,1144.0
15,2004,4,21.700000000000003,30.700000000000003,118,837.0
16,2004,5,23.400000000000002,31.400000000000002,74,917.0
17,2004,6,22.400000000000002,29.200000000000003,206,1500.0
18,2004,7,20.3,25.400000000000002,358,1185.0
19,2004,8,20.900000000000002,26.1,313,1045.0
20,2004,9,20.8,26.900000000000002,221,870.0
21,2004,10,18.400000000000002,25.900000000000002,319,654.0
22,2004,11,14.3,24.200000000000003,3,694.0
23,2004,12,12.0,23.5,0,817.0
24,2005,1,13.200000000000001,24.3,35,659.0
25,2005,2,15.9,26.5,19,814.0
26,2005,3,18.8,29.1,57,771.0
27,2005,4,21.700000000000003,30.6,53,725.0
28,2005,5,23.3,31.400000000000002,130,752.0
29,2005,6,24.1,30.900000000000002,163,701.0
30,2005,7,20.8,25.8,377,678.0
31,2005,8,20.900000000000002,26.200000000000003,257,1300.0
32,2005,9,20.1,27.200000000000003,610,690.0
33,2005,10,18.5,26.1,491,722.0
34,2005,11,13.4,23.3,7,678.0
35,2005,12,11.100000000000001,22.6,0,472.0
36,2006,1,12.4,23.400000000000002,0,464.0
37,2006,2,16.1,26.700000000000003,0,783.0
38,2006,3,18.0,28.3,74,664.0
39,2006,4,20.8,29.700000000000003,140,912.0
40,2006,5,22.200000000000003,30.200000000000003,148,901.0
41,2006,6,22.1,28.900000000000002,205,1308.0
42,2006,7,21.3,26.400000000000002,546,1427.0
43,2006,8,20.5,25.8,530,848.0
44,2006,9,20.5,26.6,442,347.0
45,2006,10,19.400000000000002,27.0,87,561.0
46,2006,11,14.9,24.8,97,687.0
47,2006,12,13.100000000000001,24.6,0,682.0
48,2007,1,13.0,24.1,0,578.0
49,2007,2,14.8,25.400000000000002,61,557.0
50,2007,3,18.3,28.5,0,627.0
51,2007,4,21.6,30.5,51,667.0
52,2007,5,23.200000000000003,31.3,70,872.0
53,2007,6,22.1,28.900000000000002,220,914.0
54,2007,7,21.3,26.400000000000002,266,882.0
55,2007,8,21.1,26.3,428,915.0
56,2007,9,20.200000000000003,26.200000000000003,465,635.0
57,2007,10,18.6,26.200000000000003,188,585.0
58,2007,11,14.5,24.400000000000002,16,551.0
