,Year,Month,Min_Temp,Max_Temp,Precipitation,Malaria_Cases
0,2003,1,15.8,27.0,8,892.0
1,2003,2,19.400000000000002,29.6,18,983.0
2,2003,3,22.5,32.0,52,1208.0
3,2003,4,27.200000000000003,35.300000000000004,3,1286.0
4,2003,5,29.5,37.0,18,1396.0
5,2003,6,28.6,35.2,207,1049.0
6,2003,7,25.8,31.1,324,1103.0
7,2003,8,26.0,31.400000000000002,302,1397.0
8,2003,9,25.3,31.6,233,1422.0
9,2003,10,22.8,30.700000000000003,635,1308.0
10,2003,11,18.5,28.700000000000003,10,1123.0
11,2003,12,16.6,26.5,28,1227.0
12,2004,1,15.4,26.6,30,770.0
13,2004,2,18.2,28.400000000000002,6,859.0
14,2004,3,23.200000000000003,32.800000000000004,0,930.0
15,2004,4,26.8,34.800000000000004,70,1142.0
16,2004,5,29.0,36.5,39,1074.0
17,2004,6,28.200000000000003,34.800000000000004,149,1694.0
18,2004,7,25.700000000000003,31.0,206,1557.0
19,2004,8,26.1,31.5,208,1911.0
20,2004,9,25.8,32.1,158,1839.0
21,2004,10,22.700000000000003,30.5,291,1370.0
22,2004,11,18.6,28.8,1,1444.0
23,2004,12,16.0,27.700000000000003,0,1895.0
24,2005,1,16.8,28.0,22,1342.0
25,2005,2,20.1,30.3,7,1613.0
26,2005,3,23.3,32.9,44,1617.0
27,2005,4,26.8,34.800000000000004,29,1294.0
28,2005,5,28.900000000000002,36.4,69,1209.0
29,2005,6,29.8,36.5,142,1911.0
30,2005,7,26.1,31.5,253,1651.0
31,2005,8,26.3,31.700000000000003,175,2349.0
32,2005,9,25.1,32.1,502,2005.0
33,2005,10,22.8,30.700000000000003,398,1197.0
34,2005,11,17.6,27.8,6,1552.0
35,2005,12,15.0,26.700000000000003,0,1528.0
36,2006,1,16.0,27.200000000000003,0,1064.0
37,2006,2,20.200000000000003,30.5,0,1455.0
38,2006,3,22.5,32.1,34,1848.0
39,2006,4,26.1,34.1,63,1867.0
40,2006,5,27.700000000000003,35.2,81,1854.0
41,2006,6,27.700000000000003,34.300000000000004,206,2168.0
42,2006,7,26.700000000000003,32.1,355,2066.0
43,2006,8,25.700000000000003,31.1,434,1851.0
44,2006,9,25.5,31.700000000000003,339,1914.0
45,2006,10,23.8,31.700000000000003,97,1714.0
46,2006,11,19.200000000000003,29.400000000000002,48,2038.0
47,2006,12,16.900000000000002,28.6,0,2604.0
48,2007,1,16.6,27.8,0,1404.0
49,2007,2,18.900000000000002,29.200000000000003,55,1264.0
50,2007,3,22.700000000000003,32.2,0,1275.0
51,2007,4,26.700000000000003,34.7,31,1223.0
52,2007,5,28.900000000000002,36.300000000000004,38,1302.0
53,2007,6,27.8,34.5,174,1555.0
54,2007,7,26.700000000000003,32.0,180,1508.0
55,2007,8,26.3,31.700000000000003,301,1993.0
56,2007,9,25.0,31.200000000000003,435,2658.0
57,2007,10,22.900000000000002,30.8,143,1650.0
58,2007,11,18.8,29.0,21,1358.0
59,2007,12,16.5,28.200000000000003,1,1452.0
60,2008,1,16.400000000000002,27.6,37,1088.0
61,2008,2,17.900000000000002,28.200000000000003,34,1349.0
62,2008,3,22.700000000000003,32.2,7,1329.0
63,2008,4,26.400000000000002,34.4,39,1610.0
64,2008,5,28.700000000000003,36.2,88,1435.0
65,2008,6,26.700000000000003,33.4,354,1597.0
66,2008,7,25.700000000000003,31.0,232,2015.0
67,2008,8,25.700000000000003,31.1,256,1561.0
68,2008,9,24.900000000000002,31.200000000000003,461,1311.0
69,2008,10,23.6,31.5,38,1152.0
70,2008,11,19.0,29.3,6,1268.0
71,2008,12,17.3,29.0,0,1368.0
72,2009,1,17.8,29.0,0,1039.0
73,2009,2,20.900000000000002,31.200000000000003,0,1030.0
74,2009,3,23.400000000000002,32.9,5,1209.0
75,2009,4,27.3,35.300000000000004,1,1014.0
76,2009,5,28.6,36.1,86,1099.0
77,2009,6,29.400000000000002,36.1,84,1053.0
78,2009,7,25.900000000000002,31.3,398,1483.0
79,2009,8,26.400000000000002,31.8,255,1528.0
80,2009,9,26.0,32.2,191,1439.0
81,2009,10,22.700000000000003,30.6,154,1175.0
82,2009,11,19.200000000000003,29.400000000000002,29,1341.0
83,2009,12,16.400000000000002,28.0,0,1603.0
84,2010,1,15.9,27.1,14,834.0
85,2010,2,19.8,30.1,2,880.0
86,2010,3,24.400000000000002,33.9,10,1301.0
87,2010,4,28.3,36.4,8,1333.0
88,2010,5,28.400000000000002,35.9,162,902.0
89,2010,6,28.200000000000003,34.800000000000004,208,1031.0
90,2010,7,26.200000000000003,31.5,270,1431.0
91,2010,8,26.200000000000003,31.6,250,1306.0
92,2010,9,25.700000000000003,31.900000000000002,319,992.0
93,2010,10,23.400000000000002,31.200000000000003,270,775.0
94,2010,11,20.1,30.3,82,835.0
95,2010,12,15.3,27.0,36,831.0
96,2011,1,15.200000000000001,26.400000000000002,0,643.0
97,2011,2,18.7,29.0,31,604.0
98,2011,3,23.0,32.5,2,775.0
99,2011,4,25.400000000000002,33.5,30,947.0
100,2011,5,28.6,36.1,130,947.0
101,2011,6,27.400000000000002,34.1,75,1050.0
102,2011,7,26.200000000000003,31.6,294,1329.0
103,2011,8,25.700000000000003,31.200000000000003,310,1251.0
104,2011,9,25.400000000000002,31.700000000000003,319,735.0
105,2011,10,23.700000000000003,31.6,29,588.0
106,2011,11,18.900000000000002,29.1,0,616.0
107,2011,12,16.2,27.900000000000002,0,799.0
108,2012,1,16.3,27.5,46,465.0
109,2012,2,19.6,29.8,0,396.0
110,2012,3,23.6,33.2,0,410.0
111,2012,4,27.1,35.2,84,403.0
112,2012,5,29.3,36.800000000000004,29,489.0
113,2012,6,30.0,36.7,173,467.0
114,2012,7,26.0,31.400000000000002,409,639.0
115,2012,8,26.0,31.400000000000002,224,925.0
116,2012,9,25.3,31.6,196,739.0
117,2012,10,22.200000000000003,31.5,84,488.0
118,2012,11,18.400000000000002,28.6,151,460.0
119,2012,12,16.3,28.0,0,406.0
120,2013,1,16.400000000000002,27.6,1,332.0
121,2013,2,18.7,29.0,3,333.0
122,2013,3,23.0,32.6,0,449.0
123,2013,4,26.400000000000002,34.4,53,441.0
124,2013,5,29.8,35.6,52,479.0
125,2013,6,26.6,33.5,304,392.0
126,2013,7,25.6,31.1,231,713.0
127,2013,8,25.6,31.400000000000002,111,691.0
128,2013,9,25.8,32.1,268,392.0
129,2013,10,23.6,30.1,511,405.0
130,2013,11,17.2,29.5,4,539.0
131,2013,12,16.1,27.0,0,469.0
