,Year,Month,Min_Temp,Max_Temp,Precipitation,Malaria_Cases
0,2003,1,13.600000000000001,25.900000000000002,0,294.0
1,2003,2,18.1,30.3,24,374.0
2,2003,3,21.200000000000003,33.800000000000004,40,434.0
3,2003,4,25.8,37.7,10,543.0
4,2003,5,27.400000000000002,37.9,36,775.0
5,2003,6,26.8,35.300000000000004,333,748.0
6,2003,7,25.8,31.8,320,790.0
7,2003,8,26.1,31.700000000000003,387,734.0
8,2003,9,25.6,31.700000000000003,274,804.0
9,2003,10,23.200000000000003,30.5,510,632.0
10,2003,11,18.0,28.6,22,838.0
11,2003,12,14.8,26.0,30,473.0
12,2004,1,14.0,26.3,7,344.0
13,2004,2,17.3,29.5,4,228.0
14,2004,3,22.5,35.1,4,437.0
15,2004,4,25.1,36.9,110,558.0
16,2004,5,27.0,37.5,56,533.0
17,2004,6,26.400000000000002,34.9,158,413.0
18,2004,7,25.700000000000003,31.700000000000003,197,312.0
19,2004,8,25.8,31.400000000000002,311,510.0
20,2004,9,25.700000000000003,31.8,263,544.0
21,2004,10,22.8,30.0,284,367.0
22,2004,11,17.900000000000002,28.5,0,328.0
23,2004,12,15.100000000000001,27.5,0,480.0
24,2005,1,15.100000000000001,27.400000000000002,19,290.0
25,2005,2,19.0,31.200000000000003,0,369.0
26,2005,3,22.400000000000002,35.0,62,341.0
27,2005,4,25.200000000000003,37.1,52,326.0
28,2005,5,26.700000000000003,37.2,108,309.0
29,2005,6,27.8,36.300000000000004,173,276.0
30,2005,7,25.6,31.6,294,442.0
31,2005,8,26.400000000000002,32.0,309,979.0
32,2005,9,25.3,32.1,523,849.0
33,2005,10,23.0,30.200000000000003,286,517.0
34,2005,11,17.2,27.8,0,384.0
35,2005,12,14.0,26.5,0,208.0
36,2006,1,14.600000000000001,26.900000000000002,0,186.0
37,2006,2,19.400000000000002,31.6,0,313.0
38,2006,3,21.900000000000002,34.4,22,305.0
39,2006,4,25.200000000000003,37.1,30,246.0
40,2006,5,26.0,36.5,138,400.0
41,2006,6,26.0,34.5,256,521.0
42,2006,7,25.900000000000002,31.900000000000002,418,900.0
43,2006,8,25.6,31.1,652,532.0
44,2006,9,25.8,31.900000000000002,395,446.0
45,2006,10,23.900000000000002,31.1,117,571.0
46,2006,11,18.7,29.3,13,556.0
47,2006,12,15.4,27.8,0,601.0
48,2007,1,14.8,27.1,0,305.0
49,2007,2,17.5,29.8,88,281.0
50,2007,3,21.3,33.9,4,426.0
51,2007,4,25.1,37.0,49,377.0
52,2007,5,26.5,37.0,109,460.0
53,2007,6,26.0,34.5,196,922.0
54,2007,7,25.900000000000002,31.900000000000002,286,574.0
55,2007,8,26.3,31.900000000000002,442,397.0
56,2007,9,25.400000000000002,31.5,546,440.0
57,2007,10,23.200000000000003,30.5,101,424.0
58,2007,11,18.400000000000002,29.0,22,441.0
59,2007,12,14.5,27.0,0,323.0
60,2008,1,14.600000000000001,26.900000000000002,42,188.0
61,2008,2,16.2,28.400000000000002,44,201.0
62,2008,3,21.900000000000002,34.5,8,215.0
63,2008,4,24.8,36.7,66,247.0
64,2008,5,26.5,37.0,156,299.0
65,2008,6,24.8,33.300000000000004,467,434.0
66,2008,7,25.400000000000002,31.3,245,583.0
67,2008,8,26.0,31.5,370,475.0
68,2008,9,25.400000000000002,31.6,516,372.0
69,2008,10,23.5,30.700000000000003,61,372.0
70,2008,11,18.6,29.3,5,424.0
71,2008,12,15.9,28.400000000000002,0,357.0
72,2009,1,16.5,28.8,0,266.0
73,2009,2,19.5,31.700000000000003,0,279.0
74,2009,3,22.5,35.1,5,291.0
75,2009,4,26.400000000000002,38.2,0,238.0
76,2009,5,26.3,36.800000000000004,134,192.0
77,2009,6,27.700000000000003,36.2,99,403.0
78,2009,7,25.700000000000003,31.6,441,588.0
79,2009,8,26.5,32.0,368,284.0
80,2009,9,26.0,32.1,256,335.0
81,2009,10,23.0,30.200000000000003,127,329.0
82,2009,11,18.8,29.400000000000002,46,165.0
83,2009,12,15.100000000000001,27.5,0,333.0
84,2010,1,13.8,26.1,5,200.0
85,2010,2,18.5,30.8,3,252.0
86,2010,3,23.400000000000002,36.0,5,269.0
87,2010,4,26.900000000000002,38.800000000000004,2,207.0
88,2010,5,26.6,37.1,278,189.0
89,2010,6,26.8,35.300000000000004,251,195.0
90,2010,7,26.200000000000003,32.2,263,437.0
91,2010,8,26.700000000000003,32.2,303,533.0
92,2010,9,25.900000000000002,32.1,342,312.0
93,2010,10,23.700000000000003,30.900000000000002,191,216.0
94,2010,11,19.700000000000003,30.400000000000002,46,282.0
95,2010,12,14.0,26.400000000000002,49,255.0
96,2011,1,13.8,26.1,0,204.0
97,2011,2,17.8,30.0,45,180.0
98,2011,3,22.0,34.6,6,194.0
99,2011,4,24.3,36.1,43,191.0
100,2011,5,26.200000000000003,36.6,187,138.0
101,2011,6,25.6,34.1,331,195.0
102,2011,7,25.900000000000002,31.900000000000002,345,235.0
103,2011,8,25.8,31.400000000000002,466,215.0
104,2011,9,25.400000000000002,31.5,351,199.0
105,2011,10,23.700000000000003,30.900000000000002,36,173.0
106,2011,11,18.5,29.1,0,199.0
107,2011,12,14.700000000000001,27.1,0,151.0
108,2012,1,14.3,26.6,46,103.0
109,2012,2,17.6,29.8,2,120.0
110,2012,3,22.5,35.1,0,100.0
111,2012,4,25.0,36.800000000000004,117,83.0
112,2012,5,27.200000000000003,37.6,33,86.0
113,2012,6,27.3,35.800000000000004,211,72.0
114,2012,7,25.6,31.6,425,133.0
115,2012,8,26.1,31.6,262,135.0
116,2012,9,25.700000000000003,31.8,198,97.0
117,2012,10,22.1,30.3,89,67.0
118,2012,11,17.8,28.400000000000002,139,78.0
119,2012,12,14.5,26.900000000000002,6,70.0
120,2013,1,14.200000000000001,26.5,4,55.0
121,2013,2,17.2,29.400000000000002,6,53.0
122,2013,3,22.1,34.6,1,37.0
123,2013,4,24.700000000000003,36.300000000000004,66,42.0
124,2013,5,26.6,35.7,95,47.0
125,2013,6,25.5,34.5,317,58.0
126,2013,7,25.5,31.900000000000002,299,99.0
127,2013,8,25.5,31.3,236,88.0
128,2013,9,25.6,31.900000000000002,338,62.0
129,2013,10,23.1,29.1,311,47.0
130,2013,11,16.3,28.3,1,51.0
131,2013,12,14.200000000000001,25.700000000000003,0,37.0
