,Year,Month,Min_Temp,Max_Temp,Precipitation,Malaria_Cases
0,2003,1,12.9,28.0,2,342.0
1,2003,2,16.6,32.0,21,323.0
2,2003,3,19.8,36.0,42,292.0
3,2003,4,25.3,41.0,5,346.0
4,2003,5,28.5,43.0,4,201.0
5,2003,6,28.700000000000003,39.300000000000004,209,199.0
6,2003,7,25.200000000000003,31.400000000000002,344,462.0
7,2003,8,25.200000000000003,31.200000000000003,398,512.0
8,2003,9,24.1,30.900000000000002,306,446.0
9,2003,10,21.900000000000002,31.6,172,421.0
10,2003,11,16.900000000000002,30.3,1,404.0
11,2003,12,13.700000000000001,27.200000000000003,10,349.0
12,2004,1,12.4,27.5,21,293.0
13,2004,2,15.4,30.8,7,277.0
14,2004,3,21.5,37.7,1,290.0
15,2004,4,24.8,40.400000000000006,23,315.0
16,2004,5,28.1,42.6,10,282.0
17,2004,6,26.400000000000002,36.9,160,241.0
18,2004,7,25.200000000000003,31.400000000000002,257,551.0
19,2004,8,24.8,30.900000000000002,516,435.0
20,2004,9,24.900000000000002,31.700000000000003,199,297.0
21,2004,10,21.5,31.1,90,251.0
22,2004,11,16.400000000000002,29.8,0,221.0
23,2004,12,13.3,28.6,0,274.0
24,2005,1,13.600000000000001,28.700000000000003,22,201.0
25,2005,2,17.1,32.5,10,195.0
26,2005,3,21.3,37.5,45,199.0
27,2005,4,24.3,40.0,10,205.0
28,2005,5,27.900000000000002,42.400000000000006,32,134.0
29,2005,6,29.1,39.6,161,128.0
30,2005,7,25.0,31.200000000000003,319,254.0
31,2005,8,25.400000000000002,31.5,381,505.0
32,2005,9,24.1,31.700000000000003,374,528.0
33,2005,10,22.0,31.700000000000003,67,296.0
34,2005,11,15.8,29.200000000000003,0,247.0
35,2005,12,12.5,27.8,3,173.0
36,2006,1,13.5,28.6,0,119.0
37,2006,2,18.0,33.4,0,112.0
38,2006,3,19.900000000000002,36.1,57,133.0
39,2006,4,24.0,39.6,14,118.0
40,2006,5,26.6,41.1,68,128.0
41,2006,6,26.8,37.4,239,153.0
42,2006,7,24.8,31.0,498,329.0
43,2006,8,24.700000000000003,30.8,666,320.0
44,2006,9,24.700000000000003,31.5,273,277.0
45,2006,10,22.8,32.4,17,269.0
46,2006,11,17.3,30.700000000000003,3,243.0
47,2006,12,13.9,29.200000000000003,0,260.0
48,2007,1,13.5,28.6,0,157.0
49,2007,2,16.2,31.6,83,115.0
50,2007,3,19.900000000000002,36.0,16,134.0
51,2007,4,24.700000000000003,40.300000000000004,8,108.0
52,2007,5,27.3,41.800000000000004,27,107.0
53,2007,6,27.1,37.6,188,128.0
54,2007,7,25.200000000000003,31.400000000000002,325,313.0
55,2007,8,25.400000000000002,31.400000000000002,498,294.0
56,2007,9,24.5,31.400000000000002,407,236.0
57,2007,10,22.0,31.6,26,199.0
58,2007,11,16.8,30.200000000000003,1,105.0
59,2007,12,13.4,28.700000000000003,1,107.0
60,2008,1,13.600000000000001,28.700000000000003,34,67.0
61,2008,2,14.8,30.200000000000003,23,54.0
62,2008,3,20.900000000000002,37.1,25,59.0
63,2008,4,24.200000000000003,39.800000000000004,14,57.0
64,2008,5,27.900000000000002,42.400000000000006,43,60.0
65,2008,6,25.3,35.800000000000004,493,84.0
66,2008,7,24.5,30.700000000000003,308,177.0
67,2008,8,25.0,31.1,435,135.0
68,2008,9,24.400000000000002,31.3,297,136.0
69,2008,10,22.400000000000002,32.0,8,149.0
70,2008,11,17.400000000000002,30.8,0,144.0
71,2008,12,14.4,29.700000000000003,0,153.0
72,2009,1,15.100000000000001,30.200000000000003,4,90.0
73,2009,2,17.900000000000002,33.300000000000004,0,90.0
74,2009,3,21.200000000000003,37.4,5,57.0
75,2009,4,25.6,41.2,0,53.0
76,2009,5,27.700000000000003,42.2,43,47.0
77,2009,6,28.900000000000002,39.5,72,59.0
78,2009,7,25.200000000000003,31.400000000000002,471,102.0
79,2009,8,25.8,31.8,332,153.0
80,2009,9,25.200000000000003,32.0,281,124.0
81,2009,10,21.700000000000003,31.400000000000002,43,100.0
82,2009,11,17.3,30.700000000000003,4,80.0
83,2009,12,13.5,28.900000000000002,1,69.0
84,2010,1,12.100000000000001,27.200000000000003,8,36.0
85,2010,2,16.900000000000002,32.300000000000004,3,41.0
86,2010,3,22.400000000000002,38.6,6,67.0
87,2010,4,26.700000000000003,42.300000000000004,2,44.0
88,2010,5,28.0,42.5,50,39.0
89,2010,6,27.900000000000002,38.400000000000006,188,72.0
90,2010,7,25.700000000000003,31.900000000000002,332,133.0
91,2010,8,25.700000000000003,31.700000000000003,332,178.0
92,2010,9,24.900000000000002,31.700000000000003,370,108.0
93,2010,10,22.6,32.300000000000004,59,61.0
94,2010,11,18.400000000000002,31.8,5,76.0
95,2010,12,12.600000000000001,28.0,19,83.0
96,2011,1,12.3,27.5,0,30.0
97,2011,2,16.400000000000002,31.900000000000002,20,19.0
98,2011,3,21.0,37.2,1,28.0
99,2011,4,23.1,38.7,20,18.0
100,2011,5,27.8,42.300000000000004,42,22.0
101,2011,6,26.200000000000003,36.800000000000004,451,9.0
102,2011,7,25.5,31.700000000000003,344,52.0
103,2011,8,25.1,31.1,474,64.0
104,2011,9,24.3,31.200000000000003,389,55.0
105,2011,10,22.5,32.1,32,25.0
106,2011,11,17.0,30.400000000000002,0,25.0
107,2011,12,13.0,28.400000000000002,0,40.0
108,2012,1,12.4,27.5,52,22.0
109,2012,2,16.0,31.5,0,23.0
110,2012,3,20.700000000000003,36.800000000000004,0,17.0
111,2012,4,24.400000000000002,40.1,22,13.0
112,2012,5,28.6,43.1,8,9.0
113,2012,6,29.1,39.7,191,6.0
114,2012,7,25.0,31.200000000000003,555,31.0
115,2012,8,24.8,30.900000000000002,516,83.0
116,2012,9,24.400000000000002,31.3,264,51.0
117,2012,10,21.0,31.8,20,34.0
118,2012,11,16.1,29.6,11,25.0
119,2012,12,13.100000000000001,28.400000000000002,1,17.0
120,2013,1,13.0,28.1,1,11.0
121,2013,2,15.8,31.3,12,12.0
122,2013,3,20.400000000000002,36.5,11,12.0
123,2013,4,24.400000000000002,39.0,23,14.0
124,2013,5,28.700000000000003,41.6,23,17.0
125,2013,6,25.5,36.6,284,19.0
126,2013,7,24.700000000000003,31.3,366,103.0
127,2013,8,24.5,30.900000000000002,390,107.0
128,2013,9,24.700000000000003,31.900000000000002,326,58.0
129,2013,10,22.1,30.6,155,84.0
130,2013,11,14.8,29.700000000000003,0,102.0
131,2013,12,12.9,27.1,0,85.0
