,Year,Month,Min_Temp,Max_Temp,Precipitation,Malaria_Cases
0,2003,1,12.0,25.1,8,1392.0
1,2003,2,15.4,28.200000000000003,25,1769.0
2,2003,3,18.400000000000002,31.3,56,2084.0
3,2003,4,23.5,35.300000000000004,6,2543.0
4,2003,5,26.0,36.9,17,3074.0
5,2003,6,25.200000000000003,33.6,208,2161.0
6,2003,7,21.8,27.400000000000002,451,2244.0
7,2003,8,22.0,27.5,368,2603.0
8,2003,9,21.400000000000002,28.0,233,2719.0
9,2003,10,19.0,27.6,309,2563.0
10,2003,11,14.200000000000001,25.6,3,3129.0
11,2003,12,12.3,24.0,44,2583.0
12,2004,1,11.100000000000001,24.200000000000003,50,1243.0
13,2004,2,13.8,26.5,11,1792.0
14,2004,3,19.5,32.4,1,1975.0
15,2004,4,23.0,34.800000000000004,64,2257.0
16,2004,5,25.6,36.6,42,2647.0
17,2004,6,23.900000000000002,32.300000000000004,200,2854.0
18,2004,7,21.8,27.3,305,3770.0
19,2004,8,22.1,27.700000000000003,279,3763.0
20,2004,9,22.200000000000003,28.8,162,3443.0
21,2004,10,18.7,27.3,138,2815.0
22,2004,11,14.0,25.400000000000002,1,2129.0
23,2004,12,11.4,24.700000000000003,0,1750.0
24,2005,1,12.5,25.5,29,1265.0
25,2005,2,16.2,28.900000000000002,17,1613.0
26,2005,3,19.6,32.5,38,1941.0
27,2005,4,23.1,34.9,28,2288.0
28,2005,5,25.6,36.5,79,2306.0
29,2005,6,26.400000000000002,34.9,168,2203.0
30,2005,7,22.200000000000003,27.700000000000003,333,2370.0
31,2005,8,22.5,28.0,233,3685.0
32,2005,9,21.5,28.8,492,4087.0
33,2005,10,19.3,27.8,198,3101.0
34,2005,11,13.200000000000001,24.6,2,2860.0
35,2005,12,10.3,23.700000000000003,1,2074.0
36,2006,1,11.700000000000001,24.700000000000003,0,1349.0
37,2006,2,16.5,29.3,0,1706.0
38,2006,3,18.2,31.1,45,2001.0
39,2006,4,22.200000000000003,34.0,65,2419.0
40,2006,5,23.5,34.5,97,2397.0
41,2006,6,23.6,32.0,218,2890.0
42,2006,7,22.6,28.200000000000003,484,3768.0
43,2006,8,21.8,27.3,480,3470.0
44,2006,9,21.8,28.400000000000002,354,3288.0
45,2006,10,20.200000000000003,28.700000000000003,34,3063.0
46,2006,11,15.100000000000001,26.5,30,3521.0
47,2006,12,12.5,25.900000000000002,0,3045.0
48,2007,1,12.600000000000001,25.700000000000003,0,1702.0
49,2007,2,15.0,27.700000000000003,68,2055.0
50,2007,3,18.8,31.700000000000003,2,2082.0
