,Year,Month,Min_Temp,Max_Temp,Precipitation,Malaria_Cases
0,2003,1,10.600000000000001,25.900000000000002,1,728.0
1,2003,2,15.700000000000001,29.400000000000002,26,916.0
2,2003,3,19.200000000000003,33.0,39,1258.0
3,2003,4,24.0,37.800000000000004,11,1396.0
4,2003,5,25.8,37.800000000000004,25,1735.0
5,2003,6,25.700000000000003,34.5,301,1588.0
6,2003,7,24.0,29.5,348,2654.0
7,2003,8,23.8,29.8,364,2640.0
8,2003,9,23.3,29.6,248,2163.0
9,2003,10,20.900000000000002,29.200000000000003,244,1847.0
10,2003,11,15.8,27.5,8,1562.0
11,2003,12,12.0,24.5,11,1445.0
12,2004,1,11.200000000000001,25.0,10,838.0
13,2004,2,14.4,28.6,4,1236.0
14,2004,3,19.900000000000002,35.4,4,1422.0
15,2004,4,23.6,37.1,78,1518.0
16,2004,5,25.400000000000002,37.6,34,1698.0
17,2004,6,23.900000000000002,32.4,159,1784.0
18,2004,7,24.1,29.3,228,2795.0
19,2004,8,23.200000000000003,29.3,370,2529.0
20,2004,9,23.200000000000003,30.3,241,2433.0
21,2004,10,20.200000000000003,28.6,147,1769.0
22,2004,11,15.5,26.900000000000002,0,1793.0
23,2004,12,11.9,26.6,0,1779.0
24,2005,1,12.8,25.700000000000003,22,1284.0
25,2005,2,16.1,29.5,1,1110.0
26,2005,3,20.0,34.6,58,1449.0
27,2005,4,23.0,37.0,38,1384.0
28,2005,5,24.8,37.2,77,1369.0
29,2005,6,25.700000000000003,34.800000000000004,175,1244.0
30,2005,7,23.8,28.900000000000002,330,1824.0
31,2005,8,24.1,29.400000000000002,324,2882.0
32,2005,9,22.700000000000003,30.0,398,2878.0
33,2005,10,21.3,28.0,117,2307.0
34,2005,11,14.3,27.0,0,2007.0
35,2005,12,11.600000000000001,25.8,1,1294.0
36,2006,1,11.3,27.3,0,1051.0
37,2006,2,16.2,31.8,0,1264.0
38,2006,3,19.200000000000003,33.9,32,1677.0
39,2006,4,23.3,36.300000000000004,26,1883.0
40,2006,5,24.6,36.800000000000004,128,2117.0
41,2006,6,24.1,33.2,253,2512.0
42,2006,7,23.200000000000003,29.3,489,3792.0
43,2006,8,23.3,29.1,640,3011.0
44,2006,9,23.5,30.0,314,2271.0
45,2006,10,21.700000000000003,29.400000000000002,49,2649.0
46,2006,11,16.8,27.0,6,3578.0
47,2006,12,12.4,26.8,0,3235.0
48,2007,1,11.3,26.400000000000002,0,1649.0
49,2007,2,15.5,28.5,109,1575.0
50,2007,3,18.3,33.6,10,2033.0
51,2007,4,23.1,37.6,33,2155.0
52,2007,5,24.700000000000003,37.4,77,2217.0
53,2007,6,23.900000000000002,33.4,196,2686.0
54,2007,7,24.0,29.200000000000003,355,3989.0
55,2007,8,24.200000000000003,29.5,449,3095.0
56,2007,9,23.8,29.700000000000003,441,2462.0
57,2007,10,21.0,29.1,43,2759.0
58,2007,11,15.700000000000001,27.700000000000003,7,2610.0
59,2007,12,11.700000000000001,26.400000000000002,0,2227.0
60,2008,1,12.5,26.0,44,1270.0
61,2008,2,13.700000000000001,27.700000000000003,43,1187.0
62,2008,3,19.8,34.5,14,1529.0
63,2008,4,23.5,36.7,47,1521.0
64,2008,5,25.3,37.2,112,2138.0
65,2008,6,23.0,31.400000000000002,492,2266.0
66,2008,7,23.1,28.6,285,3614.0
67,2008,8,24.0,28.900000000000002,377,3372.0
68,2008,9,23.5,29.6,377,2976.0
69,2008,10,20.8,29.400000000000002,27,3015.0
70,2008,11,16.2,27.900000000000002,1,3317.0
71,2008,12,13.200000000000001,26.8,0,2947.0
72,2009,1,13.200000000000001,28.0,2,1926.0
73,2009,2,16.3,31.0,0,2120.0
74,2009,3,19.6,34.9,6,1888.0
75,2009,4,24.200000000000003,38.5,0,1826.0
76,2009,5,25.200000000000003,37.2,102,2027.0
77,2009,6,25.900000000000002,34.7,91,2605.0
78,2009,7,23.8,29.6,485,3565.0
79,2009,8,24.400000000000002,29.700000000000003,345,4582.0
80,2009,9,23.900000000000002,30.200000000000003,243,3419.0
81,2009,10,20.700000000000003,29.0,60,3323.0
82,2009,11,16.0,28.400000000000002,19,3483.0
83,2009,12,12.4,26.1,0,3901.0
84,2010,1,10.3,25.400000000000002,5,2074.0
85,2010,2,14.9,30.6,4,2149.0
86,2010,3,20.8,35.9,4,2291.0
87,2010,4,24.5,39.2,3,2084.0
88,2010,5,25.5,37.6,174,2212.0
89,2010,6,25.1,33.6,235,2332.0
90,2010,7,24.700000000000003,29.8,301,3643.0
91,2010,8,24.700000000000003,29.6,293,3242.0
92,2010,9,23.900000000000002,29.6,310,2751.0
93,2010,10,21.8,29.200000000000003,86,1858.0
94,2010,11,17.400000000000002,28.5,16,2088.0
95,2010,12,11.600000000000001,25.3,18,2367.0
96,2011,1,10.9,25.3,0,1366.0
97,2011,2,14.5,30.200000000000003,42,1207.0
98,2011,3,19.8,34.1,5,1358.0
99,2011,4,22.700000000000003,35.9,39,1325.0
100,2011,5,24.900000000000002,37.0,121,1476.0
101,2011,6,23.900000000000002,32.7,407,1337.0
102,2011,7,24.400000000000002,29.3,371,2162.0
103,2011,8,23.8,29.3,456,2336.0
104,2011,9,23.3,29.5,318,1768.0
105,2011,10,21.200000000000003,29.5,29,1576.0
106,2011,11,16.1,27.400000000000002,0,1841.0
107,2011,12,11.600000000000001,25.900000000000002,0,2281.0
108,2012,1,11.200000000000001,24.400000000000002,53,1211.0
109,2012,2,14.600000000000001,28.5,3,1041.0
110,2012,3,19.200000000000003,34.6,0,921.0
111,2012,4,22.700000000000003,36.1,78,1165.0
112,2012,5,25.400000000000002,38.0,22,1537.0
113,2012,6,25.8,34.6,208,1290.0
114,2012,7,23.6,29.200000000000003,491,3361.0
115,2012,8,23.5,29.1,323,3201.0
116,2012,9,23.1,29.3,192,3033.0
117,2012,10,19.400000000000002,28.900000000000002,41,1476.0
118,2012,11,14.200000000000001,27.5,50,1228.0
119,2012,12,11.200000000000001,26.0,3,1398.0
120,2013,1,10.8,25.6,4,930.0
121,2013,2,14.200000000000001,28.5,10,914.0
122,2013,3,18.7,33.9,5,933.0
