,Year,Month,Min_Temp,Max_Temp,Precipitation,Malaria_Cases
0,2003,1,12.8,25.700000000000003,7,1173.0
1,2003,2,15.3,28.5,6,1219.0
2,2003,3,17.6,31.0,55,1609.0
3,2003,4,21.6,34.0,10,1371.0
4,2003,5,25.0,36.300000000000004,22,1221.0
5,2003,6,24.400000000000002,32.6,56,1539.0
6,2003,7,20.200000000000003,25.700000000000003,615,2510.0
7,2003,8,20.8,25.900000000000002,424,2749.0
8,2003,9,20.200000000000003,26.6,185,1925.0
9,2003,10,18.6,27.0,391,1660.0
10,2003,11,14.0,25.400000000000002,1,1696.0
11,2003,12,11.100000000000001,24.3,80,1249.0
12,2004,1,11.4,24.3,41,957.0
13,2004,2,13.4,26.6,5,854.0
14,2004,3,18.5,31.900000000000002,1,1132.0
15,2004,4,21.5,33.9,41,1208.0
16,2004,5,22.900000000000002,34.2,54,1506.0
17,2004,6,22.1,30.3,229,1829.0
18,2004,7,20.5,26.0,462,2001.0
19,2004,8,20.400000000000002,25.6,337,1814.0
20,2004,9,20.6,27.0,268,1779.0
21,2004,10,18.2,26.700000000000003,164,1611.0
22,2004,11,13.700000000000001,25.1,3,1438.0
23,2004,12,11.3,24.5,0,1477.0
24,2005,1,12.700000000000001,25.6,17,834.0
25,2005,2,15.3,28.5,10,905.0
26,2005,3,18.400000000000002,31.8,13,1341.0
27,2005,4,21.400000000000002,33.800000000000004,27,1432.0
28,2005,5,23.3,34.7,87,1391.0
29,2005,6,24.200000000000003,32.4,132,1378.0
30,2005,7,20.400000000000002,25.900000000000002,399,1831.0
31,2005,8,20.5,25.700000000000003,268,2399.0
32,2005,9,20.200000000000003,26.6,458,2530.0
33,2005,10,18.7,27.200000000000003,308,1594.0
34,2005,11,13.0,24.400000000000002,5,1273.0
35,2005,12,10.9,24.1,0,974.0
36,2006,1,12.0,24.900000000000002,0,812.0
37,2006,2,15.600000000000001,28.700000000000003,0,824.0
38,2006,3,17.400000000000002,30.8,52,1024.0
39,2006,4,20.700000000000003,33.0,127,985.0
40,2006,5,21.900000000000002,33.300000000000004,97,1414.0
41,2006,6,22.8,31.0,117,1278.0
42,2006,7,20.700000000000003,26.200000000000003,589,1911.0
43,2006,8,20.200000000000003,25.400000000000002,334,1449.0
44,2006,9,20.400000000000002,26.8,373,900.0
45,2006,10,19.200000000000003,27.700000000000003,47,931.0
46,2006,11,14.700000000000001,26.1,99,1087.0
47,2006,12,12.700000000000001,25.8,0,1543.0
48,2007,1,12.8,25.700000000000003,0,681.0
49,2007,2,14.200000000000001,27.3,9,1107.0
50,2007,3,18.1,31.5,0,1267.0
51,2007,4,21.200000000000003,33.6,17,1235.0
52,2007,5,23.5,34.9,45,1341.0
53,2007,6,22.3,30.5,228,1356.0
54,2007,7,21.1,26.5,287,1828.0
55,2007,8,20.8,26.0,417,1886.0
56,2007,9,20.200000000000003,26.700000000000003,237,1732.0
57,2007,10,18.400000000000002,26.900000000000002,129,1834.0
58,2007,11,14.100000000000001,25.5,2,1188.0
59,2007,12,12.700000000000001,25.900000000000002,9,1263.0
60,2008,1,12.700000000000001,25.5,9,1042.0
61,2008,2,13.8,27.0,13,1153.0
62,2008,3,17.2,30.6,6,1027.0
63,2008,4,21.0,33.4,23,1379.0
64,2008,5,23.8,35.2,46,1570.0
65,2008,6,21.200000000000003,29.400000000000002,227,2032.0
66,2008,7,20.5,26.0,487,4210.0
67,2008,8,20.400000000000002,25.6,358,2557.0
68,2008,9,19.8,26.3,337,2012.0
69,2008,10,19.0,27.5,13,1646.0
70,2008,11,14.700000000000001,26.1,6,1442.0
71,2008,12,12.8,26.0,0,1503.0
72,2009,1,13.700000000000001,26.6,0,1139.0
73,2009,2,16.400000000000002,29.6,0,1054.0
74,2009,3,18.1,31.5,13,1389.0
75,2009,4,22.3,34.7,5,1254.0
76,2009,5,23.400000000000002,34.7,148,1422.0
77,2009,6,24.200000000000003,32.4,81,1429.0
78,2009,7,20.200000000000003,25.6,580,3003.0
79,2009,8,21.3,26.5,317,4482.0
80,2009,9,21.3,27.8,187,4690.0
81,2009,10,18.6,27.0,70,2912.0
82,2009,11,15.200000000000001,26.6,15,2106.0
83,2009,12,12.100000000000001,25.3,0,3028.0
84,2010,1,12.200000000000001,25.1,17,2332.0
85,2010,2,15.3,28.5,3,1708.0
86,2010,3,19.5,32.9,21,2479.0
87,2010,4,23.200000000000003,35.6,78,1922.0
88,2010,5,23.200000000000003,34.6,103,2574.0
89,2010,6,23.200000000000003,31.400000000000002,179,3921.0
90,2010,7,20.3,25.700000000000003,602,4950.0
91,2010,8,21.0,26.200000000000003,521,5683.0
92,2010,9,20.400000000000002,26.8,473,4931.0
93,2010,10,18.7,27.1,217,3350.0
94,2010,11,16.0,27.400000000000002,85,3732.0
95,2010,12,11.100000000000001,24.3,33,2760.0
96,2011,1,11.600000000000001,24.5,0,2770.0
97,2011,2,14.0,27.200000000000003,9,1597.0
98,2011,3,18.1,31.5,0,2718.0
99,2011,4,19.5,31.900000000000002,71,2525.0
100,2011,5,23.200000000000003,34.5,159,2206.0
101,2011,6,21.8,30.0,90,3650.0
102,2011,7,20.8,26.200000000000003,353,4645.0
103,2011,8,20.6,25.8,340,4940.0
104,2011,9,20.200000000000003,26.700000000000003,347,3730.0
105,2011,10,19.400000000000002,27.900000000000002,7,2286.0
106,2011,11,14.600000000000001,26.0,0,1719.0
107,2011,12,12.5,25.700000000000003,0,1461.0
108,2012,1,12.700000000000001,25.6,25,1369.0
109,2012,2,15.4,28.6,0,1227.0
110,2012,3,18.8,32.2,1,1963.0
111,2012,4,21.700000000000003,34.1,115,1698.0
112,2012,5,24.0,35.300000000000004,82,2162.0
113,2012,6,23.900000000000002,32.1,127,2965.0
114,2012,7,20.0,25.5,645,3262.0
115,2012,8,20.5,25.700000000000003,552,4872.0
116,2012,9,20.3,26.700000000000003,386,3856.0
117,2012,10,18.8,27.200000000000003,69,2848.0
118,2012,11,14.4,25.8,39,932.0
119,2012,12,13.200000000000001,26.400000000000002,0,2029.0
120,2013,1,13.600000000000001,26.400000000000002,0,1656.0
121,2013,2,14.8,28.0,5,1825.0
122,2013,3,18.3,31.700000000000003,0,1727.0
123,2013,4,21.200000000000003,33.6,104,2054.0
124,2013,5,24.0,35.4,48,2259.0
125,2013,6,21.6,29.8,378,2418.0
126,2013,7,19.8,25.200000000000003,361,3568.0
127,2013,8,20.6,25.8,240,2939.0
128,2013,9,20.700000000000003,27.1,193,2143.0
