,Year,Month,Min_Temp,Max_Temp,Precipitation,Malaria_Cases
0,2003,1,15.700000000000001,29.5,4,1379.0
1,2003,2,19.0,32.800000000000004,4,1453.0
2,2003,3,21.200000000000003,35.1,26,1011.0
3,2003,4,25.5,38.1,12,982.0
4,2003,5,29.8,41.7,12,927.0
5,2003,6,28.0,37.2,64,1187.0
6,2003,7,24.1,30.3,600,1668.0
7,2003,8,24.400000000000002,30.6,420,2292.0
8,2003,9,24.200000000000003,31.0,198,1932.0
9,2003,10,22.400000000000002,30.900000000000002,322,1596.0
10,2003,11,18.0,29.1,0,1952.0
11,2003,12,14.600000000000001,27.8,42,1635.0
12,2004,1,14.700000000000001,28.5,25,1172.0
13,2004,2,17.0,30.8,3,981.0
14,2004,3,21.8,35.7,2,1072.0
15,2004,4,25.3,37.9,29,1789.0
16,2004,5,26.5,38.400000000000006,43,787.0
17,2004,6,25.700000000000003,34.9,226,952.0
18,2004,7,24.5,30.700000000000003,457,1366.0
19,2004,8,24.1,30.3,338,1364.0
20,2004,9,24.5,31.3,261,1434.0
21,2004,10,22.200000000000003,30.700000000000003,141,1836.0
22,2004,11,17.7,28.8,3,2468.0
23,2004,12,14.700000000000001,27.900000000000002,0,2369.0
24,2005,1,15.9,29.700000000000003,10,1397.0
25,2005,2,18.7,32.5,5,1292.0
26,2005,3,21.900000000000002,35.800000000000004,6,1115.0
27,2005,4,25.200000000000003,37.800000000000004,20,1099.0
28,2005,5,27.3,39.2,60,928.0
29,2005,6,28.1,37.300000000000004,128,1029.0
30,2005,7,24.200000000000003,30.400000000000002,430,1249.0
31,2005,8,24.5,30.700000000000003,280,1927.0
32,2005,9,24.1,30.900000000000002,502,2165.0
33,2005,10,22.8,31.3,285,1725.0
34,2005,11,17.1,28.200000000000003,4,1950.0
35,2005,12,14.8,28.0,0,1315.0
36,2006,1,15.200000000000001,29.0,0,1271.0
37,2006,2,18.6,32.4,0,1260.0
38,2006,3,21.1,35.0,28,1080.0
39,2006,4,24.900000000000002,37.5,111,1018.0
40,2006,5,26.0,37.9,79,882.0
41,2006,6,26.5,35.7,131,958.0
42,2006,7,24.8,31.0,554,1607.0
43,2006,8,24.1,30.3,325,1922.0
44,2006,9,24.1,30.900000000000002,384,1488.0
45,2006,10,23.1,31.6,89,1254.0
46,2006,11,18.6,29.700000000000003,77,1611.0
47,2006,12,15.9,29.1,0,1773.0
48,2007,1,15.8,29.6,0,1204.0
49,2007,2,17.7,31.5,4,1201.0
50,2007,3,21.700000000000003,35.6,0,1111.0
51,2007,4,25.1,37.7,12,992.0
52,2007,5,28.1,40.0,28,832.0
53,2007,6,26.0,35.2,264,971.0
54,2007,7,25.0,31.200000000000003,321,1431.0
55,2007,8,24.6,30.8,449,1560.0
56,2007,9,24.1,30.900000000000002,252,1220.0
57,2007,10,22.200000000000003,30.700000000000003,116,1192.0
58,2007,11,17.900000000000002,29.0,3,1103.0
59,2007,12,16.3,29.5,5,1384.0
60,2008,1,15.700000000000001,29.5,4,1515.0
61,2008,2,17.7,31.5,10,1355.0
62,2008,3,20.8,34.7,10,1198.0
63,2008,4,24.8,37.4,14,1130.0
64,2008,5,28.700000000000003,40.6,25,1027.0
65,2008,6,25.200000000000003,34.4,207,1084.0
66,2008,7,24.400000000000002,30.6,485,1573.0
67,2008,8,24.1,30.3,460,942.0
68,2008,9,23.900000000000002,30.700000000000003,342,776.0
69,2008,10,22.900000000000002,31.400000000000002,18,1221.0
70,2008,11,18.8,29.900000000000002,11,1255.0
71,2008,12,16.3,29.5,0,1529.0
72,2009,1,16.8,30.6,0,1282.0
73,2009,2,19.8,33.6,0,848.0
74,2009,3,21.6,35.5,6,1196.0
75,2009,4,26.3,38.900000000000006,6,815.0
76,2009,5,27.700000000000003,39.6,110,493.0
77,2009,6,27.900000000000002,37.1,99,950.0
78,2009,7,24.200000000000003,30.400000000000002,506,1598.0
79,2009,8,25.3,31.5,375,1888.0
80,2009,9,25.3,32.1,201,1367.0
81,2009,10,22.6,31.1,61,1014.0
82,2009,11,19.3,30.400000000000002,15,1562.0
83,2009,12,15.600000000000001,28.8,1,1919.0
84,2010,1,15.5,29.3,10,915.0
85,2010,2,18.6,32.4,1,1250.0
86,2010,3,22.700000000000003,36.6,10,1008.0
87,2010,4,26.900000000000002,39.5,85,922.0
88,2010,5,27.8,39.7,75,927.0
89,2010,6,27.1,36.300000000000004,183,801.0
90,2010,7,24.0,30.200000000000003,637,1452.0
91,2010,8,24.900000000000002,31.1,568,1474.0
92,2010,9,23.900000000000002,30.700000000000003,566,1341.0
93,2010,10,22.5,31.0,204,847.0
94,2010,11,20.0,31.1,66,1287.0
95,2010,12,14.700000000000001,27.900000000000002,19,1450.0
96,2011,1,14.8,28.6,0,1742.0
97,2011,2,17.6,31.400000000000002,8,5961.0
98,2011,3,21.6,35.5,0,1937.0
99,2011,4,23.900000000000002,36.5,65,1298.0
100,2011,5,27.400000000000002,39.300000000000004,97,1175.0
101,2011,6,25.8,35.0,100,1147.0
102,2011,7,24.5,30.700000000000003,379,2147.0
103,2011,8,24.3,30.5,354,2060.0
104,2011,9,24.200000000000003,31.0,324,1660.0
105,2011,10,23.400000000000002,31.900000000000002,14,1665.0
106,2011,11,18.5,29.6,1,2695.0
107,2011,12,16.1,29.3,0,1430.0
108,2012,1,15.8,29.6,18,1001.0
109,2012,2,18.6,32.4,0,1418.0
