,Year,Month,Min_Temp,Max_Temp,Precipitation,Malaria_Cases
0,2003,1,13.200000000000001,27.900000000000002,5,1116.0
1,2003,2,16.400000000000002,30.700000000000003,10,1074.0
2,2003,3,19.1,33.4,58,1072.0
3,2003,4,23.5,36.6,11,868.0
4,2003,5,26.8,39.1,11,1154.0
5,2003,6,26.200000000000003,35.1,70,1367.0
6,2003,7,22.200000000000003,28.0,609,2543.0
7,2003,8,22.400000000000002,28.1,434,2612.0
8,2003,9,22.0,28.900000000000002,181,2103.0
9,2003,10,20.0,29.0,285,1632.0
10,2003,11,15.3,27.6,1,1861.0
11,2003,12,12.100000000000001,26.700000000000003,75,1717.0
12,2004,1,11.8,26.5,47,1001.0
13,2004,2,14.200000000000001,28.6,7,1106.0
14,2004,3,19.8,34.2,1,977.0
15,2004,4,23.200000000000003,36.4,37,1270.0
16,2004,5,24.900000000000002,37.1,37,1616.0
17,2004,6,23.400000000000002,32.300000000000004,242,1630.0
18,2004,7,22.5,28.3,450,2144.0
19,2004,8,22.200000000000003,27.900000000000002,340,2626.0
20,2004,9,22.6,29.400000000000002,250,1971.0
21,2004,10,19.700000000000003,28.700000000000003,118,1460.0
22,2004,11,15.0,27.3,3,2105.0
23,2004,12,11.9,26.5,0,2240.0
24,2005,1,13.100000000000001,27.700000000000003,20,1180.0
25,2005,2,16.3,30.700000000000003,13,1113.0
26,2005,3,19.8,34.2,14,1288.0
27,2005,4,23.200000000000003,36.300000000000004,24,1591.0
28,2005,5,25.3,37.6,62,1073.0
29,2005,6,25.900000000000002,34.800000000000004,147,873.0
30,2005,7,22.400000000000002,28.1,384,1400.0
31,2005,8,22.400000000000002,28.1,271,2385.0
32,2005,9,22.400000000000002,29.200000000000003,447,3226.0
33,2005,10,20.200000000000003,29.3,224,1893.0
34,2005,11,14.200000000000001,26.5,3,2194.0
35,2005,12,11.3,25.900000000000002,0,1663.0
36,2006,1,12.3,27.0,0,1277.0
37,2006,2,16.6,30.900000000000002,0,996.0
38,2006,3,18.5,32.9,58,987.0
39,2006,4,22.5,35.7,102,1094.0
40,2006,5,23.700000000000003,35.9,69,987.0
41,2006,6,24.3,33.2,118,1067.0
42,2006,7,22.6,28.400000000000002,580,1985.0
43,2006,8,22.0,27.700000000000003,342,2202.0
44,2006,9,22.3,29.200000000000003,375,1653.0
45,2006,10,20.8,29.8,20,1378.0
46,2006,11,15.9,28.200000000000003,65,1875.0
47,2006,12,13.100000000000001,27.700000000000003,0,2566.0
48,2007,1,13.200000000000001,27.8,0,1377.0
49,2007,2,15.3,29.700000000000003,12,1103.0
50,2007,3,19.400000000000002,33.7,0,1061.0
51,2007,4,23.0,36.2,15,904.0
52,2007,5,25.3,37.6,33,873.0
53,2007,6,23.8,32.7,233,939.0
54,2007,7,23.1,28.900000000000002,269,1472.0
55,2007,8,22.6,28.3,417,2216.0
56,2007,9,22.200000000000003,29.0,236,2174.0
57,2007,10,19.8,28.900000000000002,91,1417.0
58,2007,11,15.3,27.6,2,1615.0
59,2007,12,13.200000000000001,27.8,9,1629.0
60,2008,1,13.100000000000001,27.700000000000003,10,739.0
61,2008,2,14.600000000000001,29.0,15,1092.0
62,2008,3,18.7,33.1,13,884.0
63,2008,4,22.8,36.0,21,1432.0
64,2008,5,25.8,38.1,35,1803.0
65,2008,6,22.700000000000003,31.6,244,791.0
66,2008,7,22.6,28.400000000000002,465,2798.0
67,2008,8,22.200000000000003,27.900000000000002,348,2456.0
68,2008,9,21.8,28.700000000000003,335,1907.0
69,2008,10,20.5,29.6,11,1105.0
70,2008,11,16.1,28.400000000000002,3,1645.0
71,2008,12,13.5,28.1,0,1414.0
72,2009,1,14.3,29.0,0,681.0
73,2009,2,17.5,31.900000000000002,0,905.0
74,2009,3,19.6,34.0,14,768.0
75,2009,4,24.1,37.300000000000004,4,967.0
76,2009,5,25.200000000000003,37.4,102,964.0
77,2009,6,25.900000000000002,34.800000000000004,84,964.0
78,2009,7,22.1,27.900000000000002,574,1505.0
79,2009,8,23.0,28.700000000000003,313,2490.0
80,2009,9,23.400000000000002,30.200000000000003,186,2557.0
81,2009,10,19.900000000000002,29.0,54,1767.0
82,2009,11,16.400000000000002,28.700000000000003,10,3389.0
83,2009,12,12.700000000000001,27.200000000000003,0,1871.0
84,2010,1,12.3,27.0,19,1022.0
85,2010,2,16.3,30.700000000000003,4,878.0
86,2010,3,21.0,35.4,23,1038.0
87,2010,4,25.1,38.300000000000004,57,1090.0
88,2010,5,25.400000000000002,37.7,69,769.0
89,2010,6,25.0,33.9,190,1176.0
90,2010,7,22.3,28.0,575,1572.0
91,2010,8,22.8,28.5,526,3238.0
92,2010,9,22.400000000000002,29.3,448,2015.0
93,2010,10,20.3,29.3,152,1213.0
94,2010,11,17.3,29.6,58,1713.0
95,2010,12,11.700000000000001,26.3,29,1599.0
96,2011,1,11.8,26.5,0,1468.0
97,2011,2,15.0,29.400000000000002,10,1156.0
98,2011,3,19.5,33.9,0,1714.0
99,2011,4,21.1,34.300000000000004,57,5566.0
100,2011,5,25.1,37.300000000000004,115,1068.0
101,2011,6,23.3,32.2,95,1079.0
102,2011,7,22.900000000000002,28.700000000000003,329,2081.0
103,2011,8,22.6,28.3,349,2329.0
104,2011,9,22.1,29.0,355,1732.0
105,2011,10,20.8,29.900000000000002,4,1217.0
106,2011,11,16.0,28.3,0,1304.0
107,2011,12,13.0,27.6,0,939.0
108,2012,1,13.100000000000001,27.700000000000003,26,743.0
109,2012,2,16.400000000000002,30.700000000000003,0,765.0
110,2012,3,20.0,34.4,1,855.0
111,2012,4,23.5,36.7,99,836.0
112,2012,5,26.0,38.2,57,968.0
113,2012,6,25.5,34.4,132,884.0
114,2012,7,22.200000000000003,28.0,634,1320.0
115,2012,8,22.3,28.0,550,1376.0
116,2012,9,22.3,29.1,386,1704.0
117,2012,10,20.200000000000003,29.200000000000003,46,1268.0
118,2012,11,15.5,27.8,27,1313.0
119,2012,12,13.600000000000001,28.200000000000003,0,1771.0
120,2013,1,13.9,28.5,0,984.0
121,2013,2,15.8,30.200000000000003,5,803.0
122,2013,3,19.6,34.0,1,888.0
123,2013,4,22.900000000000002,36.1,85,1021.0
124,2013,5,26.0,38.300000000000004,33,1119.0
125,2013,6,22.700000000000003,31.5,411,1102.0
126,2013,7,21.8,27.400000000000002,358,1545.0
127,2013,8,22.200000000000003,27.900000000000002,245,1473.0
128,2013,9,22.8,29.5,192,1266.0
129,2013,10,20.200000000000003,29.1,213,1375.0
130,2013,11,15.4,27.8,6,1082.0
131,2013,12,12.4,26.900000000000002,0,857.0
