,Year,Month,Min_Temp,Max_Temp,Precipitation,Malaria_Cases
0,2003,1,13.9,28.3,2,1869.0
1,2003,2,17.0,31.3,14,1552.0
2,2003,3,19.900000000000002,34.800000000000004,69,1663.0
3,2003,4,25.700000000000003,39.6,7,1692.0
4,2003,5,29.400000000000002,42.7,3,1292.0
5,2003,6,29.400000000000002,39.5,125,2177.0
6,2003,7,23.900000000000002,30.1,570,3405.0
7,2003,8,23.700000000000003,29.6,374,4549.0
8,2003,9,22.700000000000003,29.6,212,3737.0
9,2003,10,20.700000000000003,30.3,152,2808.0
10,2003,11,15.9,28.8,0,2735.0
11,2003,12,13.8,27.700000000000003,29,2753.0
12,2004,1,12.700000000000001,27.1,26,2110.0
13,2004,2,14.8,29.200000000000003,6,1992.0
14,2004,3,21.0,35.800000000000004,1,1929.0
15,2004,4,24.5,38.5,18,2300.0
16,2004,5,28.3,41.6,10,2080.0
17,2004,6,26.0,36.1,196,2564.0
18,2004,7,24.0,30.1,427,3184.0
19,2004,8,23.8,29.700000000000003,333,3337.0
20,2004,9,24.0,30.8,201,2925.0
21,2004,10,20.400000000000002,29.900000000000002,64,2904.0
22,2004,11,15.4,28.3,1,2650.0
23,2004,12,12.9,27.5,0,2424.0
24,2005,1,13.700000000000001,28.1,13,2309.0
25,2005,2,17.400000000000002,31.700000000000003,13,1951.0
26,2005,3,21.0,35.9,24,2293.0
27,2005,4,24.700000000000003,38.6,10,1575.0
28,2005,5,28.700000000000003,41.900000000000006,20,1438.0
29,2005,6,29.6,39.800000000000004,156,1792.0
30,2005,7,24.0,30.1,386,1458.0
31,2005,8,24.3,30.200000000000003,256,2241.0
32,2005,9,23.400000000000002,30.900000000000002,418,2483.0
33,2005,10,21.200000000000003,30.8,116,2150.0
34,2005,11,14.600000000000001,27.5,0,1756.0
35,2005,12,12.0,26.6,1,1295.0
36,2006,1,13.3,27.8,0,1142.0
37,2006,2,18.0,32.4,0,1399.0
38,2006,3,19.200000000000003,34.0,81,677.0
39,2006,4,24.200000000000003,38.2,30,1369.0
40,2006,5,26.700000000000003,39.900000000000006,32,1280.0
41,2006,6,27.1,37.2,133,1615.0
42,2006,7,24.200000000000003,30.3,605,2572.0
43,2006,8,23.6,29.5,359,2215.0
44,2006,9,23.700000000000003,30.6,347,1885.0
45,2006,10,21.900000000000002,31.5,7,1545.0
46,2006,11,16.6,29.5,11,1554.0
47,2006,12,14.100000000000001,28.700000000000003,0,1473.0
48,2007,1,14.0,28.400000000000002,0,1185.0
49,2007,2,16.6,31.0,21,1332.0
50,2007,3,20.0,34.800000000000004,6,1453.0
51,2007,4,24.900000000000002,38.800000000000004,7,1417.0
52,2007,5,27.700000000000003,41.0,13,1576.0
53,2007,6,26.8,36.9,204,1642.0
54,2007,7,24.700000000000003,30.8,319,3338.0
55,2007,8,24.200000000000003,30.1,372,2822.0
56,2007,9,23.3,30.200000000000003,278,2017.0
57,2007,10,20.8,30.400000000000002,41,2081.0
58,2007,11,15.600000000000001,28.5,1,1296.0
59,2007,12,13.700000000000001,28.3,3,1247.0
60,2008,1,14.0,28.400000000000002,8,991.0
61,2008,2,15.0,29.400000000000002,13,1025.0
62,2008,3,20.3,35.1,25,1218.0
63,2008,4,24.5,38.5,11,1350.0
64,2008,5,28.700000000000003,42.0,17,1459.0
65,2008,6,25.700000000000003,35.800000000000004,283,1635.0
66,2008,7,24.400000000000002,30.6,443,2314.0
67,2008,8,24.0,29.900000000000002,311,2617.0
68,2008,9,23.3,30.200000000000003,311,1620.0
69,2008,10,21.6,31.1,13,1472.0
70,2008,11,16.6,29.5,0,2015.0
71,2008,12,14.600000000000001,29.200000000000003,0,1651.0
72,2009,1,15.8,30.200000000000003,0,1464.0
73,2009,2,18.6,33.0,0,1188.0
74,2009,3,21.0,35.9,15,970.0
75,2009,4,25.700000000000003,39.6,1,1347.0
76,2009,5,27.8,41.1,31,1039.0
77,2009,6,29.5,39.6,84,1197.0
78,2009,7,24.0,30.1,590,1535.0
79,2009,8,24.6,30.5,266,2376.0
80,2009,9,24.6,31.5,201,2230.0
81,2009,10,20.6,30.200000000000003,40,2018.0
82,2009,11,16.3,29.200000000000003,4,1439.0
83,2009,12,13.700000000000001,28.3,1,1379.0
84,2010,1,12.700000000000001,27.1,10,879.0
85,2010,2,17.3,31.700000000000003,4,1134.0
86,2010,3,22.6,37.4,24,1093.0
87,2010,4,27.200000000000003,41.1,13,1082.0
88,2010,5,29.0,42.2,23,1181.0
89,2010,6,28.5,38.6,172,1375.0
90,2010,7,24.1,30.3,544,1402.0
91,2010,8,24.3,30.3,434,1848.0
92,2010,9,23.900000000000002,30.8,406,1525.0
93,2010,10,21.400000000000002,31.0,75,1206.0
94,2010,11,17.8,30.700000000000003,13,1064.0
95,2010,12,12.8,27.3,17,1534.0
