,Year,Month,Min_Temp,Max_Temp,Precipitation,Malaria_Cases
0,2003,1,16.8,25.6,2,49.0
1,2003,2,20.700000000000003,28.200000000000003,22,29.0
2,2003,3,23.900000000000002,29.900000000000002,27,37.0
3,2003,4,26.700000000000003,32.2,2,51.0
4,2003,5,28.0,33.6,19,46.0
5,2003,6,27.6,32.5,273,26.0
6,2003,7,26.5,30.8,284,31.0
7,2003,8,26.700000000000003,31.5,328,27.0
8,2003,9,26.400000000000002,31.700000000000003,260,30.0
9,2003,10,24.3,31.400000000000002,579,25.0
10,2003,11,20.200000000000003,29.1,22,24.0
11,2003,12,17.400000000000002,26.3,21,24.0
12,2004,1,17.1,25.900000000000002,12,11.0
13,2004,2,20.0,27.400000000000002,4,15.0
14,2004,3,24.400000000000002,30.400000000000002,1,37.0
15,2004,4,26.0,31.400000000000002,42,29.0
16,2004,5,27.700000000000003,33.300000000000004,41,23.0
17,2004,6,27.700000000000003,32.7,135,24.0
18,2004,7,26.3,30.6,173,23.0
19,2004,8,26.5,31.200000000000003,226,21.0
20,2004,9,26.700000000000003,32.0,205,27.0
21,2004,10,24.200000000000003,31.200000000000003,283,20.0
22,2004,11,20.400000000000002,29.200000000000003,0,21.0
23,2004,12,17.6,27.8,0,17.0
24,2005,1,18.400000000000002,27.200000000000003,16,13.0
25,2005,2,21.6,29.0,2,19.0
26,2005,3,24.700000000000003,30.6,34,22.0
27,2005,4,26.0,31.5,18,17.0
28,2005,5,27.3,32.9,74,25.0
29,2005,6,28.6,33.6,147,21.0
30,2005,7,26.6,31.0,245,30.0
31,2005,8,26.8,31.5,214,51.0
32,2005,9,26.200000000000003,32.1,545,18.0
33,2005,10,24.1,31.200000000000003,341,15.0
34,2005,11,19.5,28.3,4,17.0
35,2005,12,16.400000000000002,26.6,0,14.0
36,2006,1,17.7,26.5,0,11.0
37,2006,2,21.400000000000002,28.900000000000002,0,14.0
38,2006,3,24.1,30.0,16,13.0
39,2006,4,25.700000000000003,31.1,22,10.0
40,2006,5,26.8,32.4,90,8.0
41,2006,6,27.0,31.900000000000002,231,8.0
42,2006,7,27.0,31.400000000000002,337,14.0
43,2006,8,26.1,30.900000000000002,522,10.0
44,2006,9,26.5,31.900000000000002,360,14.0
45,2006,10,25.0,32.1,115,15.0
46,2006,11,20.900000000000002,29.700000000000003,31,32.0
47,2006,12,18.1,28.200000000000003,0,19.0
48,2007,1,17.8,26.6,0,10.0
49,2007,2,20.3,27.8,74,8.0
50,2007,3,23.900000000000002,29.8,0,11.0
51,2007,4,25.900000000000002,31.400000000000002,19,10.0
52,2007,5,27.3,32.9,57,10.0
53,2007,6,27.1,32.1,171,14.0
54,2007,7,26.8,31.200000000000003,189,20.0
55,2007,8,26.900000000000002,31.6,339,18.0
56,2007,9,25.900000000000002,31.3,512,10.0
57,2007,10,24.200000000000003,31.3,117,7.0
58,2007,11,20.5,29.3,38,40.0
59,2007,12,17.400000000000002,27.6,0,7.0
60,2008,1,17.8,26.6,36,2.0
61,2008,2,19.3,26.700000000000003,42,4.0
62,2008,3,24.0,29.900000000000002,4,6.0
63,2008,4,25.6,31.1,24,13.0
64,2008,5,27.1,32.7,107,11.0
65,2008,6,25.900000000000002,30.900000000000002,391,3.0
66,2008,7,26.200000000000003,30.5,205,8.0
67,2008,8,26.400000000000002,31.1,289,23.0
68,2008,9,26.1,31.400000000000002,516,10.0
69,2008,10,24.8,31.8,46,11.0
70,2008,11,20.700000000000003,29.6,9,15.0
71,2008,12,18.5,28.700000000000003,0,9.0
72,2009,1,19.1,27.900000000000002,0,9.0
73,2009,2,22.1,29.6,0,3.0
74,2009,3,24.6,30.6,1,10.0
75,2009,4,26.400000000000002,31.900000000000002,0,8.0
76,2009,5,27.0,32.6,88,10.0
77,2009,6,28.400000000000002,33.4,88,8.0
78,2009,7,26.3,30.6,382,9.0
79,2009,8,26.900000000000002,31.6,292,5.0
80,2009,9,26.700000000000003,32.1,212,6.0
81,2009,10,24.0,31.1,150,12.0
82,2009,11,21.0,29.8,53,6.0
83,2009,12,17.7,27.900000000000002,0,8.0
84,2010,1,17.3,26.1,7,5.0
85,2010,2,21.1,28.6,1,3.0
86,2010,3,25.3,31.200000000000003,4,3.0
87,2010,4,27.1,32.5,1,6.0
