,Year,Month,Min_Temp,Max_Temp,Precipitation,Malaria_Cases
0,2003,1,12.9,28.1,3,1693.0
1,2003,2,16.0,31.0,22,1457.0
2,2003,3,18.400000000000002,34.6,50,1493.0
3,2003,4,25.0,40.5,5,1503.0
4,2003,5,29.0,43.400000000000006,4,1452.0
5,2003,6,29.1,39.5,218,1386.0
6,2003,7,24.900000000000002,31.0,449,2424.0
7,2003,8,25.0,30.900000000000002,456,2461.0
8,2003,9,24.1,30.900000000000002,305,2105.0
9,2003,10,21.700000000000003,31.3,187,1810.0
10,2003,11,16.3,29.6,1,2473.0
11,2003,12,13.700000000000001,27.200000000000003,10,2328.0
12,2004,1,12.3,27.5,27,1642.0
13,2004,2,14.5,29.5,8,1328.0
14,2004,3,20.0,36.2,1,1339.0
15,2004,4,24.1,39.6,27,1342.0
16,2004,5,28.6,43.0,10,1274.0
17,2004,6,26.900000000000002,37.4,170,1260.0
18,2004,7,24.700000000000003,30.8,319,2241.0
19,2004,8,25.0,30.900000000000002,506,2363.0
20,2004,9,25.1,31.900000000000002,214,1882.0
21,2004,10,21.3,30.900000000000002,95,1777.0
22,2004,11,15.9,29.200000000000003,0,1752.0
23,2004,12,12.8,28.200000000000003,0,2288.0
24,2005,1,13.4,28.6,23,1628.0
25,2005,2,17.0,32.0,12,1276.0
26,2005,3,20.200000000000003,36.4,45,1400.0
27,2005,4,24.1,39.6,11,1390.0
28,2005,5,28.400000000000002,42.900000000000006,28,1319.0
29,2005,6,29.900000000000002,40.300000000000004,168,842.0
30,2005,7,24.900000000000002,31.0,383,1786.0
31,2005,8,25.6,31.5,388,2537.0
32,2005,9,24.400000000000002,31.900000000000002,451,2712.0
33,2005,10,22.200000000000003,31.8,88,2142.0
34,2005,11,15.200000000000001,28.5,0,3126.0
35,2005,12,11.9,27.400000000000002,2,2230.0
36,2006,1,13.100000000000001,28.400000000000002,0,1324.0
37,2006,2,17.6,32.6,0,1206.0
38,2006,3,18.6,34.7,57,1258.0
39,2006,4,23.400000000000002,38.900000000000006,18,1240.0
40,2006,5,26.3,40.800000000000004,51,1064.0
41,2006,6,27.0,37.4,241,1421.0
42,2006,7,25.0,31.1,581,1985.0
43,2006,8,24.700000000000003,30.6,729,2071.0
44,2006,9,24.8,31.6,326,2148.0
45,2006,10,22.8,32.4,20,1987.0
46,2006,11,17.1,30.400000000000002,4,2408.0
47,2006,12,13.700000000000001,29.200000000000003,0,2659.0
48,2007,1,13.600000000000001,28.8,0,967.0
