,Year,Month,Min_Temp,Max_Temp,Precipitation,Malaria_Cases
0,2003,1,14.4,28.8,4,458.0
1,2003,2,17.7,31.8,20,390.0
2,2003,3,20.5,35.4,37,484.0
3,2003,4,26.5,40.7,4,431.0
4,2003,5,29.8,43.0,5,372.0
5,2003,6,29.700000000000003,39.6,207,540.0
6,2003,7,25.200000000000003,31.200000000000003,475,1107.0
7,2003,8,25.1,31.0,413,803.0
8,2003,9,24.3,31.200000000000003,246,937.0
9,2003,10,22.3,31.5,197,625.0
10,2003,11,17.3,29.900000000000002,1,499.0
11,2003,12,15.0,27.8,18,426.0
12,2004,1,13.5,28.0,31,392.0
13,2004,2,16.0,30.1,8,404.0
14,2004,3,21.900000000000002,36.800000000000004,0,410.0
15,2004,4,25.700000000000003,39.800000000000004,33,328.0
16,2004,5,29.5,42.7,14,298.0
17,2004,6,27.900000000000002,37.7,186,453.0
18,2004,7,25.1,31.1,325,646.0
19,2004,8,25.3,31.200000000000003,362,751.0
20,2004,9,25.3,32.2,177,449.0
21,2004,10,22.0,31.200000000000003,92,398.0
22,2004,11,17.0,29.6,0,396.0
23,2004,12,13.9,28.5,0,367.0
24,2005,1,14.700000000000001,29.200000000000003,20,309.0
25,2005,2,18.7,32.9,13,328.0
26,2005,3,22.3,37.2,28,317.0
27,2005,4,25.900000000000002,40.0,14,319.0
28,2005,5,29.400000000000002,42.6,29,233.0
29,2005,6,30.8,40.7,165,200.0
30,2005,7,25.5,31.5,365,449.0
31,2005,8,25.8,31.700000000000003,294,819.0
32,2005,9,24.6,32.300000000000004,456,991.0
33,2005,10,22.8,32.1,115,655.0
34,2005,11,16.2,28.8,1,474.0
35,2005,12,12.9,27.5,1,336.0
36,2006,1,14.100000000000001,28.6,0,259.0
37,2006,2,19.1,33.300000000000004,0,253.0
38,2006,3,20.5,35.4,35,288.0
39,2006,4,24.900000000000002,39.1,29,243.0
40,2006,5,27.1,40.2,43,213.0
41,2006,6,27.6,37.5,223,272.0
42,2006,7,25.8,31.8,539,610.0
43,2006,8,24.900000000000002,30.900000000000002,580,609.0
44,2006,9,24.900000000000002,31.8,327,649.0
45,2006,10,23.5,32.800000000000004,21,493.0
46,2006,11,18.2,30.8,9,471.0
47,2006,12,15.100000000000001,29.700000000000003,0,574.0
48,2007,1,15.0,29.5,0,393.0
49,2007,2,17.5,31.6,61,290.0
50,2007,3,21.1,36.0,4,361.0
51,2007,4,25.8,40.0,14,296.0
52,2007,5,28.200000000000003,41.400000000000006,20,166.0
53,2007,6,28.200000000000003,38.1,207,197.0
54,2007,7,26.1,32.1,286,569.0
55,2007,8,25.6,31.5,435,732.0
56,2007,9,24.400000000000002,31.3,393,435.0
57,2007,10,22.400000000000002,31.700000000000003,43,284.0
58,2007,11,17.400000000000002,30.0,2,397.0
59,2007,12,14.600000000000001,29.1,1,267.0
60,2008,1,14.700000000000001,29.200000000000003,27,195.0
61,2008,2,15.8,30.0,30,173.0
62,2008,3,21.400000000000002,36.300000000000004,11,187.0
63,2008,4,25.3,39.400000000000006,19,217.0
64,2008,5,29.400000000000002,42.6,34,162.0
65,2008,6,26.700000000000003,36.6,417,183.0
66,2008,7,25.400000000000002,31.400000000000002,361,1097.0
67,2008,8,25.1,31.0,368,735.0
68,2008,9,24.5,31.400000000000002,392,400.0
69,2008,10,23.200000000000003,32.5,9,309.0
70,2008,11,18.0,30.6,1,379.0
71,2008,12,15.700000000000001,30.3,0,441.0
72,2009,1,16.6,31.1,1,329.0
73,2009,2,19.5,33.6,0,240.0
74,2009,3,22.200000000000003,37.1,5,226.0
75,2009,4,26.900000000000002,41.0,1,167.0
76,2009,5,28.5,41.6,39,139.0
77,2009,6,30.0,39.900000000000006,88,128.0
78,2009,7,25.200000000000003,31.3,565,297.0
79,2009,8,26.0,31.900000000000002,334,479.0
80,2009,9,25.700000000000003,32.6,218,413.0
81,2009,10,22.1,31.400000000000002,46,282.0
82,2009,11,17.8,30.5,5,261.0
83,2009,12,14.5,29.1,0,313.0
84,2010,1,13.600000000000001,28.1,13,195.0
85,2010,2,18.3,32.4,3,148.0
86,2010,3,23.5,38.400000000000006,9,183.0
87,2010,4,28.3,42.400000000000006,7,122.0
88,2010,5,28.8,42.0,54,91.0
89,2010,6,29.0,38.800000000000004,221,115.0
90,2010,7,25.700000000000003,31.8,420,232.0
91,2010,8,25.700000000000003,31.6,369,247.0
92,2010,9,25.3,32.2,361,159.0
93,2010,10,23.3,32.5,82,93.0
94,2010,11,19.400000000000002,32.0,12,129.0
95,2010,12,13.5,28.1,21,119.0
96,2011,1,13.200000000000001,27.700000000000003,0,68.0
97,2011,2,17.2,31.3,25,76.0
98,2011,3,21.900000000000002,36.9,1,48.0
99,2011,4,23.5,37.7,21,24.0
100,2011,5,29.1,42.300000000000004,50,24.0
101,2011,6,27.200000000000003,37.0,254,73.0
102,2011,7,25.900000000000002,32.0,392,171.0
103,2011,8,25.1,31.0,422,305.0
104,2011,9,24.6,31.400000000000002,351,76.0
105,2011,10,23.1,32.4,16,62.0
106,2011,11,17.6,30.200000000000003,0,88.0
107,2011,12,14.5,29.0,0,82.0
108,2012,1,14.3,28.8,39,55.0
109,2012,2,17.7,31.8,0,30.0
110,2012,3,21.700000000000003,36.6,0,38.0
111,2012,4,26.400000000000002,40.5,41,34.0
112,2012,5,29.8,43.0,13,21.0
113,2012,6,30.900000000000002,40.7,190,21.0
114,2012,7,25.6,31.6,612,83.0
115,2012,8,25.1,31.0,412,83.0
116,2012,9,24.8,31.700000000000003,248,98.0
117,2012,10,22.0,32.7,25,64.0
118,2012,11,17.2,29.8,19,46.0
119,2012,12,14.4,29.0,0,34.0
120,2013,1,14.600000000000001,29.1,1,39.0
121,2013,2,17.3,31.400000000000002,6,27.0
122,2013,3,21.6,36.5,3,55.0
123,2013,4,25.5,39.1,32,40.0
124,2013,5,29.8,41.400000000000006,21,42.0
125,2013,6,26.1,36.4,350,32.0
126,2013,7,24.900000000000002,31.200000000000003,356,307.0
