,Year,Month,Min_Temp,Max_Temp,Precipitation,Malaria_Cases
0,2003,1,12.200000000000001,27.3,3,4798.0
1,2003,2,15.9,31.400000000000002,22,3873.0
2,2003,3,19.5,35.7,36,3497.0
3,2003,4,25.0,40.7,6,3377.0
4,2003,5,27.900000000000002,42.5,4,3092.0
5,2003,6,28.3,38.900000000000006,197,2986.0
6,2003,7,24.900000000000002,31.3,298,5598.0
7,2003,8,25.0,31.1,364,5976.0
8,2003,9,23.900000000000002,30.8,309,6291.0
9,2003,10,21.900000000000002,31.6,165,8134.0
10,2003,11,16.5,30.0,1,7668.0
11,2003,12,13.200000000000001,26.6,8,0.0
12,2004,1,11.700000000000001,26.8,20,3428.0
13,2004,2,14.9,30.400000000000002,5,3045.0
14,2004,3,21.200000000000003,37.4,1,3182.0
15,2004,4,24.700000000000003,40.400000000000006,23,3011.0
16,2004,5,27.400000000000002,42.0,9,2882.0
17,2004,6,25.8,36.4,167,2907.0
18,2004,7,25.0,31.3,231,4987.0
19,2004,8,24.6,30.6,521,4491.0
20,2004,9,24.700000000000003,31.6,194,4770.0
21,2004,10,21.400000000000002,31.200000000000003,83,4527.0
22,2004,11,16.0,29.5,0,4739.0
23,2004,12,13.0,28.3,0,4987.0
24,2005,1,13.0,28.200000000000003,21,3497.0
25,2005,2,16.3,31.700000000000003,10,2590.0
26,2005,3,20.8,37.0,46,2674.0
27,2005,4,24.0,39.7,10,3028.0
28,2005,5,27.200000000000003,41.800000000000004,33,2434.0
29,2005,6,28.400000000000002,39.0,156,2132.0
30,2005,7,24.5,30.900000000000002,294,3184.0
31,2005,8,25.200000000000003,31.200000000000003,381,6423.0
32,2005,9,23.8,31.5,324,6633.0
33,2005,10,21.700000000000003,31.5,57,4753.0
34,2005,11,15.4,28.900000000000002,0,5624.0
35,2005,12,12.200000000000001,27.400000000000002,4,3663.0
36,2006,1,13.0,28.1,0,1945.0
37,2006,2,17.2,32.7,0,2240.0
38,2006,3,19.6,35.7,56,1982.0
39,2006,4,23.700000000000003,39.400000000000006,15,1933.0
40,2006,5,26.5,41.1,74,1849.0
41,2006,6,26.400000000000002,37.0,235,2365.0
42,2006,7,24.3,30.6,470,4038.0
43,2006,8,24.5,30.5,595,3328.0
44,2006,9,24.5,31.400000000000002,239,3149.0
45,2006,10,22.6,32.300000000000004,15,3676.0
46,2006,11,16.8,30.200000000000003,2,4764.0
47,2006,12,13.4,28.700000000000003,0,4782.0
48,2007,1,12.8,27.900000000000002,0,2435.0
49,2007,2,15.5,30.900000000000002,84,2104.0
50,2007,3,19.400000000000002,35.6,19,1975.0
51,2007,4,24.5,40.1,8,2035.0
52,2007,5,26.900000000000002,41.6,30,1981.0
53,2007,6,26.5,37.1,181,1976.0
54,2007,7,24.8,31.1,317,3350.0
55,2007,8,25.200000000000003,31.200000000000003,480,2790.0
56,2007,9,24.5,31.400000000000002,379,2239.0
57,2007,10,21.900000000000002,31.6,22,2755.0
58,2007,11,16.400000000000002,29.900000000000002,1,2824.0
59,2007,12,13.0,28.200000000000003,0,2709.0
60,2008,1,13.100000000000001,28.200000000000003,36,1392.0
61,2008,2,14.100000000000001,29.6,19,992.0
62,2008,3,20.700000000000003,36.800000000000004,25,966.0
63,2008,4,24.0,39.7,15,1066.0
64,2008,5,27.3,41.900000000000006,47,1051.0
65,2008,6,24.700000000000003,35.300000000000004,515,1062.0
66,2008,7,23.900000000000002,30.3,292,2144.0
67,2008,8,24.8,30.8,427,1827.0
68,2008,9,24.200000000000003,31.1,248,2005.0
69,2008,10,22.1,31.900000000000002,8,2562.0
70,2008,11,17.0,30.400000000000002,0,2842.0
71,2008,12,14.0,29.200000000000003,0,3337.0
72,2009,1,14.4,29.5,4,2038.0
73,2009,2,17.1,32.6,0,1309.0
74,2009,3,20.700000000000003,36.9,4,1542.0
75,2009,4,25.3,41.0,0,1415.0
76,2009,5,27.3,41.900000000000006,45,1105.0
77,2009,6,28.3,38.900000000000006,66,1261.0
78,2009,7,24.900000000000002,31.200000000000003,422,1579.0
79,2009,8,25.5,31.6,302,2040.0
80,2009,9,24.8,31.8,283,1732.0
81,2009,10,21.700000000000003,31.400000000000002,44,1959.0
82,2009,11,16.900000000000002,30.400000000000002,4,1824.0
83,2009,12,13.100000000000001,28.400000000000002,1,1385.0
84,2010,1,11.4,26.5,6,1082.0
85,2010,2,16.2,31.6,4,1107.0
86,2010,3,21.8,38.0,4,890.0
87,2010,4,26.1,41.800000000000004,2,824.0
88,2010,5,27.700000000000003,42.300000000000004,47,750.0
89,2010,6,27.3,37.9,174,1090.0
90,2010,7,25.400000000000002,31.8,294,1699.0
91,2010,8,25.5,31.5,298,2167.0
92,2010,9,24.6,31.5,321,1744.0
93,2010,10,22.5,32.2,55,1347.0
94,2010,11,17.8,31.200000000000003,4,1335.0
95,2010,12,12.3,27.5,17,1627.0
96,2011,1,11.8,26.900000000000002,0,1338.0
97,2011,2,15.8,31.3,17,983.0
98,2011,3,20.5,36.7,1,1003.0
99,2011,4,23.1,38.800000000000004,21,858.0
100,2011,5,27.1,41.7,40,535.0
101,2011,6,25.8,36.5,491,665.0
102,2011,7,25.0,31.400000000000002,318,1421.0
103,2011,8,24.900000000000002,31.0,456,1465.0
104,2011,9,24.200000000000003,31.1,380,993.0
105,2011,10,22.3,32.0,36,890.0
106,2011,11,16.6,30.0,0,1107.0
107,2011,12,12.5,27.8,0,930.0
108,2012,1,11.700000000000001,26.8,56,656.0
109,2012,2,15.3,30.8,0,640.0
110,2012,3,20.200000000000003,36.4,0,705.0
111,2012,4,23.900000000000002,39.6,20,506.0
112,2012,5,27.900000000000002,42.5,7,619.0
113,2012,6,28.400000000000002,39.1,185,630.0
114,2012,7,24.6,30.900000000000002,524,1184.0
115,2012,8,24.6,30.6,514,1913.0
116,2012,9,24.1,31.0,268,1506.0
117,2012,10,20.700000000000003,31.6,18,1849.0
118,2012,11,15.600000000000001,29.0,10,3390.0
119,2012,12,12.600000000000001,27.900000000000002,1,2495.0
120,2013,1,12.3,27.400000000000002,1,1469.0
121,2013,2,15.0,30.5,15,694.0
122,2013,3,19.8,36.0,12,750.0
123,2013,4,24.1,38.7,22,846.0
124,2013,5,28.3,41.2,22,618.0
125,2013,6,25.1,36.300000000000004,282,849.0
126,2013,7,24.3,31.1,357,2182.0
127,2013,8,24.200000000000003,30.6,412,1682.0
128,2013,9,24.400000000000002,31.700000000000003,314,1591.0
129,2013,10,21.700000000000003,30.3,156,2508.0
130,2013,11,14.100000000000001,29.1,0,2666.0
131,2013,12,12.4,26.5,0,2300.0
