dist,phc,yr,mnth,totfever,bsc,bse,totsp,sppf,sppv,totrt,death,totact,totinj,outbreak,totrefer,totrdt,rdtpos_pf,rdtpos_pv
Gajapati,Mohana,2004,January,,1171,1171,156,154,,156,,,,,,,,
Balasore,Anantapur,2004,January,,502,502,14,6,,14,,,,,,,,
Angul,Godibandha,2004,January,,797,797,134,69,,134,1,,,,,,,
Dhenkanal,Parjang,2004,January,,564,564,5,5,,5,,,,,,,,
Bolangir,Deogaon,2004,January,,718,718,153,15,,103,,,,,,,,
Cuttack,Niali,2004,January,,628,628,,,,,,,,,,,,
Ganjam,Buguda,2004,January,,311,311,33,30,,25,,,,,,,,
Cuttack,Berhampur(Balasore),2004,January,,570,570,28,2,,28,,,,,,,,
Cuttack,Subarnapur,2004,January,,276,276,,,,,,,,,,,,
Ganjam,Adapada,2004,January,,1323,1323,47,41,,47,,,,,,,,
Baragarh,Sohella,2004,January,,223,223,6,6,,6,,,,,,,,
Balasore,Rupsa,2004,January,,581,581,3,2,,3,,,,,,,,
Ganjam,Jagannathprasad,2004,January,,548,548,48,43,,48,,,,,,,,
Balasore,Khaira,2004,January,,945,945,31,12,,31,,,,,,,,
Ganjam,Khallikot,2004,January,,269,269,22,19,,22,,,,,,,,
Balasore,Pratappur,2004,January,,423,423,3,,,3,,,,,,,,
Dhenkanal,Khajuriakata,2004,January,,1874,1874,562,286,,554,,,,,,,,
Bhadrak,Bhadrak Town,2004,January,,133,133,6,4,,6,,,,,,,,
Gajapati,Kasinagar,2004,January,,392,392,18,18,,18,,,,,,,,
Angul,Bantala,2004,January,,540,540,168,145,,160,,,,,,,,
Ganjam,Bomkei,2004,January,,273,273,20,20,,20,,,,,,,,
Balasore,Balasore Town,2004,January,,431,431,11,10,,11,,,,,,,,
Gajapati,R.Udaygiri,2004,January,,626,626,72,43,,72,,,,,,,,
Dhenkanal,Office Clinic,2004,January,,118,118,52,53,,52,,,,,,,,
Ganjam,Polsara,2004,January,,157,157,16,16,,16,,,,,,,,
Gajapati,Gumma,2004,January,,353,353,42,41,,42,,,,,,,,
Angul,Kaniha,2004,January,,360,360,67,55,,67,,,,,,,,
Deogarh,Tileibeni,2004,January,,1229,1229,250,208,,88,,,,,,,,
Baragarh,Bhattli,2004,January,,,,,,,,,,,,,,,
Balasore,Jaleswapur,2004,January,,689,689,2,1,,2,,,,,,,,
Jagatsingpur,Ersama,2004,January,,134,134,,,,,,,,,,,,
Cuttack,Nischantkoili,2004,January,,747,747,1,,,1,,,,,,,,
Gajapati,B.K.Pada,2004,January,,1046,1046,136,136,,136,,,,,,,,
Angul,R.K.Nagar,2004,January,,739,739,137,133,,137,,,,,,,,
Ganjam,Dharakot,2004,January,,339,339,59,57,,28,,,,,,,,
Cuttack,Dampora,2004,January,,369,369,80,72,,80,,,,,,,,
Bolangir,Khaprakhol,2004,January,,672,672,145,128,,145,,,,,,,,
Cuttack,Salepur,2004,January,,503,503,11,,,11,,,,,,,,
Ganjam,Urban Bhanjanagar,2004,January,,163,163,24,9,,24,,,,,,,,
Bolangir,Sindheikela,2004,January,,815,815,23,5,,23,,,,,,,,
Bhadrak,Chandabali,2004,January,,438,438,4,,,4,,,,,,,,
Angul,Banarpal,2004,January,,221,221,33,32,,33,1,,,,,,,
Bhadrak,Basudevpur,2004,January,,569,569,2,2,,2,,,,,,,,
Ganjam,Muneipentha,2004,January,,279,279,1,1,,1,,,,,,,,
Bolangir,Loisinga,2004,January,,956,956,142,93,,142,,,,,,,,
Baragarh,Baragarh Hospital,2004,January,,317,317,2,,,2,,,,,,,,
Ganjam,Urban Chhatrapur,2004,January,,256,256,23,15,,23,,,,,,,,
Ganjam,Kukudakhandi,2004,January,,598,598,51,39,,51,,,,,,,,
Dhenkanal,"HQ Hospital,Dhenkanal",2004,January,,145,145,17,15,,17,,,,,,,,
Baragarh,Padmapur Hospital,2004,January,,407,407,114,82,,112,,,,,,,,
Baragarh,Bheden,2004,January,,601,601,40,40,,40,,,,,,,,
Ganjam,Patrapur,2004,January,,831,831,56,48,,56,,,,,,,,
Balasore,Gopalpur,2004,January,,409,409,1,,,1,,,,,,,,
Ganjam,Girisola,2004,January,,441,441,17,5,,17,,,,,,,,
Bolangir,Muribahal,2004,January,,286,286,29,5,,29,,,,,,,,
Bhadrak,Dhamnagar,2004,January,,457,457,6,,,6,,,,,,,,
Baragarh,Talpalli,2004,January,,154,154,20,20,,20,,,,,,,,
Gajapati,Urban Paralakhemundi,2004,January,,361,361,35,34,,35,,,,,,,,
Balasore,Berhampur(Balasore),2004,January,,344,344,4,4,,4,,,,,,,,
Bolangir,Gudvella,2004,January,,414,414,57,27,,57,,,,,,,,
Bhadrak,Barpada,2004,January,,655,655,2,2,,2,,,,,,,,
Cuttack,Tangi,2004,January,,528,528,5,,,5,,,,,,,,
Baragarh,Barapalli,2004,January,,244,244,16,1,,16,,,,,,,,
Deogarh,Deogaon,2004,January,,1375,1375,110,76,,108,2,,,,,,,
Deogarh,Chhatabar,2004,January,,1644,1644,136,134,,136,,,,,,,,
Ganjam,Gobra,2004,January,,396,396,29,28,,28,,,,,,,,
Balasore,Iswarpur,2004,January,,412,412,10,9,,10,,,,,,,,
Baragarh,Agalpur,2004,January,,393,393,3,3,,3,,,,,,,,
Cuttack,Mahanga,2004,January,,448,448,1,,,1,,,,,,,,
Balasore,Basta,2004,January,,518,518,7,4,,7,,,,,,,,
Bolangir,Jamugaon,2004,January,,560,560,79,57,,60,,,,,,,,
Dhenkanal,Beltikir,2004,January,,981,981,44,43,,44,,,,,,,,
Bolangir,Tureikella,2004,January,,1026,1026,140,100,,140,,,,,,,,
