dist,phc,yr,mnth,totfever,bsc,bse,totsp,sppf,sppv,totrt,death,totact,totinj,outbreak,totrefer,totrdt,rdtpos_pf,rdtpos_pv
Angul,Koshala,2007,August,,2968,2968,240,228,,240,,,,,,,,
Angul,Khamar,2007,July,,2897,2897,278,276,,278,,,,,,,,
Angul,Bantala,2007,July,,4386,4386,422,408,,422,,,,,,,,
Angul,Kaniha,2007,June,,1796,1796,167,149,,167,,,,,,,,
Angul,Godibandha,2007,January,,1369,1369,167,67,,166,,,,,,,,
Angul,Khamar,2007,October,,2644,2644,234,232,,234,,,,,,,,
Angul,Banarpal,2007,July,,2845,2845,302,291,,302,,,,,,,,
Angul,Koshala,2007,April,,1675,1675,223,214,,223,,,,,,,,
Angul,R.K.Nagar,2007,November,,1240,1240,150,146,,150,,,,,,,,
Angul,Koshala,2007,July,,3024,3024,228,219,,228,,,,,,,,
Angul,Madhapur,2007,February,,1199,1199,177,153,,177,1,,,,,,,
Angul,Koshala,2007,February,,1560,1560,170,163,,170,,,,,,,,
Angul,Godibandha,2007,November,,1758,1758,182,62,,182,,,,,,,,
Angul,R.K.Nagar,2007,June,,799,799,105,103,,105,,,,,,,,
Angul,Khamar,2007,March,,1906,1906,199,195,,199,,,,,,,,
Angul,Banarpal,2007,January,,775,775,144,139,,144,,,,,,,,
Angul,Godibandha,2007,August,,1827,1827,177,49,,177,,,,,,,,
Angul,Madhapur,2007,November,,1158,1158,51,42,,51,,,,,,,,
Angul,Godibandha,2007,April,,1223,1223,143,52,,143,,,,,,,,
Angul,Madhapur,2007,December,,1363,1363,57,51,,57,,,,,,,,
Angul,R.K.Nagar,2007,May,,911,911,132,128,,132,,,,,,,,
Angul,Kaniha,2007,October,,2278,2278,213,172,,213,,,,,,,,
Angul,Kaniha,2007,March,,1144,1144,98,88,,98,,,,,,,,
Angul,Bantala,2007,January,,1890,1890,131,123,,131,,,,,,,,
Angul,Koshala,2007,May,,1929,1929,150,144,,150,,,,,,,,
Angul,Banarpal,2007,February,,623,623,105,96,,105,,,,,,,,
Angul,Madhapur,2007,October,,10104,10104,1240,1067,,1240,,,,,,,,
Angul,Bantala,2007,May,,1948,1948,125,117,,125,,,,,,,,
Angul,Godibandha,2007,July,,2706,2706,258,125,,258,,,,,,,,
Angul,Khamar,2007,November,,2077,2077,215,208,,215,,,,,,,,
Angul,Godibandha,2007,October,,2152,2152,243,68,,243,,,,,,,,
Angul,R.K.Nagar,2007,April,,966,966,156,153,,156,,,,,,,,
Angul,Bantala,2007,December,,2132,2132,159,144,,159,,,,,,,,
