District,Year,Month,BSE,TOTSP
Angul,2010,January,12706,1284
Balasore,2010,January,6841,97
Bargarh,2010,January,6578,98
Bhadrak,2010,January,8416,52
Bolangir,2010,January,9067,507
Boudh,2010,January,2009,223
Cuttack,2010,January,11806,91
Deogarh,2010,January,3637,285
Dhenkanal,2010,January,9410,872
Gajpati,2010,January,5229,452
Ganjam,2010,January,18835,834
J.S PUR,2010,January,3235,16
Jajpur,2010,January,10889,200
Jharsuguda,2010,January,1257,36
Kalahandi,2010,January,14385,1684
Kandhamal,2010,January,12720,1765
Kendrapada,2010,January,4547,18
Keonjhar,2010,January,21500,2074
Khurda,2010,January,8459,124
Koraput,2010,January,13905,2332
Malkangiri,2010,January,8216,915
Mayurbhanj,2010,January,19328,652
Nawarangpur,2010,January,6447,1022
Nayagarh,2010,January,2929,162
Nuapada,2010,January,4349,879
Puri,2010,January,4228,5
Rayagada,2010,January,13791,2558
Sambalpur,2010,January,7525,946
Sonepur,2010,January,4871,195
Sundargarh,2010,January,20853,1082
Angul,2010,February,13910,1234
Balasore,2010,February,7571,63
Bargarh,2010,February,8056,129
Bhadrak,2010,February,9336,36
Bolangir,2010,February,10984,613
Boudh,2010,February,2219,175
Cuttack,2010,February,13127,53
Deogarh,2010,February,4410,307
Dhenkanal,2010,February,10727,830
Gajpati,2010,February,6225,480
Ganjam,2010,February,20219,880
J.S PUR,2010,February,3399,11
Jajpur,2010,February,9622,252
Jharsuguda,2010,February,1688,41
Kalahandi,2010,February,15592,1674
Kandhamal,2010,February,14105,1864
Kendrapada,2010,February,5857,14
Keonjhar,2010,February,24516,2149
Khurda,2010,February,9559,143
Koraput,2010,February,10625,1708
Malkangiri,2010,February,10579,1250
Mayurbhanj,2010,February,22743,627
Nawarangpur,2010,February,7323,878
Nayagarh,2010,February,4311,193
Nuapada,2010,February,5407,1134
Puri,2010,February,4417,3
Rayagada,2010,February,15101,2236
Sambalpur,2010,February,8164,933
Sonepur,2010,February,4851,148
Sundargarh,2010,February,26778,1107
Angul,2010,March,14688,1163
Balasore,2010,March,9201,223
Bargarh,2010,March,8675,141
Bhadrak,2010,March,9421,37
Bolangir,2010,March,11985,628
Boudh,2010,March,2241,191
Cuttack,2010,March,14881,65
Deogarh,2010,March,4764,325
Dhenkanal,2010,March,12738,951
Gajpati,2010,March,7331,681
Ganjam,2010,March,24539,1301
J.S PUR,2010,March,3027,16
Jajpur,2010,March,14034,269
Jharsuguda,2010,March,2148,67
Kalahandi,2010,March,17215,1911
Kandhamal,2010,March,16021,2193
Kendrapada,2010,March,6491,14
Keonjhar,2010,March,27603,2291
Khurda,2010,March,10447,236
Koraput,2010,March,14682,2479
Malkangiri,2010,March,12245,1008
Mayurbhanj,2010,March,28315,1699
Nawarangpur,2010,March,9839,1038
Nayagarh,2010,March,5339,216
Nuapada,2010,March,6018,1093
Puri,2010,March,4545,3
Rayagada,2010,March,19348,3806
Sambalpur,2010,March,6966,764
Sonepur,2010,March,5756,183
Sundargarh,2010,March,25141,890
Angul,2010,April,13157,1143
Balasore,2010,April,8405,178
Bargarh,2010,April,8108,102
Bhadrak,2010,April,9695,67
Bolangir,2010,April,11810,625
Boudh,2010,April,2643,235
Cuttack,2010,April,15521,69
Deogarh,2010,April,4982,387
Dhenkanal,2010,April,15141,1008
Gajpati,2010,April,8219,823
Ganjam,2010,April,25085,1333
J.S PUR,2010,April,2892,10
Jajpur,2010,April,12187,207
Jharsuguda,2010,April,1962,44
Kalahandi,2010,April,18137,1877
Kandhamal,2010,April,17601,2691
Kendrapada,2010,April,6405,26
Keonjhar,2010,April,26300,2084
Khurda,2010,April,11801,409
Koraput,2010,April,11777,1922
Malkangiri,2010,April,9030,922
Mayurbhanj,2010,April,25999,1738
Nawarangpur,2010,April,8784,1090
Nayagarh,2010,April,4712,271
Nuapada,2010,April,4926,1082
Puri,2010,April,4691,6
Rayagada,2010,April,16916,3130
Sambalpur,2010,April,7675,805
Sonepur,2010,April,4906,122
Sundargarh,2010,April,23261,824
Angul,2010,May,12190,1109
Balasore,2010,May,9678,103
Bargarh,2010,May,7968,98
Bhadrak,2010,May,10026,48
Bolangir,2010,May,11240,555
Boudh,2010,May,2442,123
Cuttack,2010,May,15175,72
Deogarh,2010,May,5590,426
Dhenkanal,2010,May,9944,662
Gajpati,2010,May,7711,815
Ganjam,2010,May,22885,902
J.S PUR,2010,May,2904,12
Jajpur,2010,May,12132,189
Jharsuguda,2010,May,2081,39
Kalahandi,2010,May,18177,1963
Kandhamal,2010,May,18664,2542
Kendrapada,2010,May,6614,22
Keonjhar,2010,May,27120,2212
Khurda,2010,May,10900,310
Koraput,2010,May,15338,2574
Malkangiri,2010,May,9592,927
Mayurbhanj,2010,May,28620,1989
Nawarangpur,2010,May,6596,769
Nayagarh,2010,May,4976,228
Nuapada,2010,May,6101,1181
Puri,2010,May,5247,2
Rayagada,2010,May,18321,3381
Sambalpur,2010,May,6898,649
Sonepur,2010,May,4639,91
Sundargarh,2010,May,21704,750
Angul,2010,June,14369,1272
Balasore,2010,June,9350,117
Bargarh,2010,June,11518,72
Bhadrak,2010,June,11366,60
Bolangir,2010,June,15006,738
Boudh,2010,June,2510,135
Cuttack,2010,June,15008,149
Deogarh,2010,June,5071,347
Dhenkanal,2010,June,10571,796
Gajpati,2010,June,9212,1089
Ganjam,2010,June,26901,1031
J.S PUR,2010,June,2754,21
Jajpur,2010,June,12567,195
Jharsuguda,2010,June,2950,72
Kalahandi,2010,June,17190,1966
Kandhamal,2010,June,24883,3760
Kendrapada,2010,June,7769,24
Keonjhar,2010,June,26812,2332
Khurda,2010,June,10856,240
Koraput,2010,June,17918,3921
Malkangiri,2010,June,6943,801
Mayurbhanj,2010,June,30185,2156
Nawarangpur,2010,June,10482,1176
Nayagarh,2010,June,5474,263
Nuapada,2010,June,6938,1375
Puri,2010,June,6058,4
Rayagada,2010,June,19690,3557
Sambalpur,2010,June,7822,655
Sonepur,2010,June,5713,115
Sundargarh,2010,June,31180,1090
Angul,2010,July,21897,2261
Balasore,2010,July,13884,236
Bargarh,2010,July,14874,237
Bhadrak,2010,July,15091,83
Bolangir,2010,July,18742,1181
Boudh,2010,July,3351,268
Cuttack,2010,July,20190,128
Deogarh,2010,July,6274,339
Dhenkanal,2010,July,15979,1444
Gajpati,2010,July,12359,1199
Ganjam,2010,July,29852,1431
J.S PUR,2010,July,4086,33
Jajpur,2010,July,17184,437
Jharsuguda,2010,July,5974,133
Kalahandi,2010,July,28450,3445
Kandhamal,2010,July,28485,4154
Kendrapada,2010,July,9723,34
Keonjhar,2010,July,41160,3643
Khurda,2010,July,14974,416
Koraput,2010,July,22636,4950
Malkangiri,2010,July,13674,1452
Mayurbhanj,2010,July,36867,1770
Nawarangpur,2010,July,11931,1572
Nayagarh,2010,July,7095,345
Nuapada,2010,July,10537,1402
Puri,2010,July,6893,7
Rayagada,2010,July,33398,5419
Sambalpur,2010,July,12161,1200
Sonepur,2010,July,8084,232
Sundargarh,2010,July,47883,1699
Angul,2010,August,28629,2942
Balasore,2010,August,14819,211
Bargarh,2010,August,22731,478
Bhadrak,2010,August,17705,59
Bolangir,2010,August,36328,1789
Boudh,2010,August,4692,279
Cuttack,2010,August,24724,145
Deogarh,2010,August,7126,398
Dhenkanal,2010,August,22766,1706
Gajpati,2010,August,10235,849
Ganjam,2010,August,33873,1306
J.S PUR,2010,August,9610,32
Jajpur,2010,August,20059,533
Jharsuguda,2010,August,9419,178
Kalahandi,2010,August,36882,4034
Kandhamal,2010,August,32505,4826
Kendrapada,2010,August,12678,36
Keonjhar,2010,August,39025,3242
Khurda,2010,August,15082,431
Koraput,2010,August,29445,5683
Malkangiri,2010,August,6259,1474
Mayurbhanj,2010,August,48461,2166
Nawarangpur,2010,August,22499,3238
Nayagarh,2010,August,11881,394
Nuapada,2010,August,12202,1848
Puri,2010,August,7632,9
Rayagada,2010,August,34529,7122
Sambalpur,2010,August,17427,1703
Sonepur,2010,August,13322,247
Sundargarh,2010,August,54897,2167
Angul,2010,September,22581,2097
Balasore,2010,September,11129,133
Bargarh,2010,September,17052,275
Bhadrak,2010,September,14303,52
Bolangir,2010,September,26792,1143
Boudh,2010,September,3791,202
Cuttack,2010,September,18322,89
Deogarh,2010,September,5857,409
Dhenkanal,2010,September,15679,1067
Gajpati,2010,September,8996,683
Ganjam,2010,September,32871,992
J.S PUR,2010,September,3894,22
Jajpur,2010,September,14458,312
Jharsuguda,2010,September,7462,108
Kalahandi,2010,September,29985,3156
Kandhamal,2010,September,30683,4363
Kendrapada,2010,September,12438,23
Keonjhar,2010,September,38917,2751
Khurda,2010,September,13568,372
Koraput,2010,September,22335,4931
Malkangiri,2010,September,6655,1341
Mayurbhanj,2010,September,30898,1000
Nawarangpur,2010,September,22574,2015
Nayagarh,2010,September,8581,244
Nuapada,2010,September,9899,1525
Puri,2010,September,6346,3
Rayagada,2010,September,32479,6766
Sambalpur,2010,September,13734,1254
Sonepur,2010,September,9240,159
Sundargarh,2010,September,46309,1744
Angul,2010,October,17581,1493
Balasore,2010,October,9592,92
Bargarh,2010,October,13496,192
Bhadrak,2010,October,11693,42
Bolangir,2010,October,18185,817
Boudh,2010,October,2452,230
Cuttack,2010,October,18945,109
Deogarh,2010,October,5740,339
Dhenkanal,2010,October,12736,682
Gajpati,2010,October,7836,553
Ganjam,2010,October,27127,775
J.S PUR,2010,October,3428,23
Jajpur,2010,October,11956,216
Jharsuguda,2010,October,3887,61
Kalahandi,2010,October,23874,2469
Kandhamal,2010,October,21556,3190
Kendrapada,2010,October,11949,22
Keonjhar,2010,October,28300,1858
Khurda,2010,October,11764,237
Koraput,2010,October,16939,3350
Malkangiri,2010,October,12104,847
Mayurbhanj,2010,October,24908,978
Nawarangpur,2010,October,13433,1213
Nayagarh,2010,October,7613,213
Nuapada,2010,October,10565,1206
Puri,2010,October,5426,2
Rayagada,2010,October,20956,4325
Sambalpur,2010,October,9657,930
Sonepur,2010,October,6256,93
Sundargarh,2010,October,34894,1347
Angul,2010,November,17060,1461
Balasore,2010,November,10826,75
Bargarh,2010,November,11768,120
Bhadrak,2010,November,12151,48
Bolangir,2010,November,15701,676
Boudh,2010,November,2206,360
Cuttack,2010,November,19584,90
Deogarh,2010,November,5494,558
Dhenkanal,2010,November,11626,577
Gajpati,2010,November,7872,581
Ganjam,2010,November,29531,835
J.S PUR,2010,November,3473,20
Jajpur,2010,November,13082,282
Jharsuguda,2010,November,3350,76
Kalahandi,2010,November,24225,2879
Kandhamal,2010,November,20762,2865
Kendrapada,2010,November,11146,22
Keonjhar,2010,November,27206,2088
Khurda,2010,November,10509,191
Koraput,2010,November,17879,3732
Malkangiri,2010,November,12954,1287
Mayurbhanj,2010,November,23571,1251
Nawarangpur,2010,November,16018,1713
Nayagarh,2010,November,7731,194
Nuapada,2010,November,11993,1064
Puri,2010,November,5740,6
Rayagada,2010,November,21636,4673
Sambalpur,2010,November,8266,872
Sonepur,2010,November,6350,129
Sundargarh,2010,November,29451,1335
Angul,2010,December,16163,1437
Balasore,2010,December,10329,113
Bargarh,2010,December,10247,110
Bhadrak,2010,December,10467,71
Bolangir,2010,December,12845,553
Boudh,2010,December,2514,256
Cuttack,2010,December,15820,80
Deogarh,2010,December,5707,705
Dhenkanal,2010,December,11448,506
Gajpati,2010,December,12205,630
Ganjam,2010,December,29547,831
J.S PUR,2010,December,3104,18
Jajpur,2010,December,13519,255
Jharsuguda,2010,December,2718,83
Kalahandi,2010,December,21292,2400
Kandhamal,2010,December,19378,2338
Kendrapada,2010,December,12015,28
Keonjhar,2010,December,27044,2367
Khurda,2010,December,9701,126
Koraput,2010,December,13939,2760
Malkangiri,2010,December,11190,1450
Mayurbhanj,2010,December,21579,1822
Nawarangpur,2010,December,11451,1599
Nayagarh,2010,December,6407,193
Nuapada,2010,December,7410,1534
Puri,2010,December,6404,6
Rayagada,2010,December,19704,3651
Sambalpur,2010,December,7325,885
Sonepur,2010,December,4819,119
Sundargarh,2010,December,27451,1627
