District,Month,Totsp,No. of RDT Performed,Slides examined,Bse
Angul,January,477,3034,12461,15495
Balasore,January,82,5148,10591,15739
Bargarh,January,42,3500,10626,14126
Bhadrak,January,21,535,9678,10213
Bolangir,January,409,1850,11422,13272
Boudh,January,38,726,806,1532
Cuttack,January,33,580,13836,14416
Deogarh,January,275,2402,4231,6633
Dhenkanal,January,176,2273,11445,13718
Gajpati,January,446,2174,5404,7578
Ganjam,January,465,3103,25234,28337
J.S PUR,January,9,1839,8158,9997
Jajpur,January,103,2342,12605,14947
Jharsuguda,January,22,1482,2325,3807
Kalahandi,January,1042,3337,20415,23752
Kandhamal,January,971,3578,12807,16385
Kendrapada,January,6,11,8489,8500
Keonjhar,January,1211,6020,17305,23325
Khurda,January,45,18,1279,1297
Koraput,January,1369,4759,7475,12234
Malkangiri,January,1001,1435,8299,9734
Mayurbhanj,January,384,8119,17452,25571
Nawarangpur,January,743,3323,8010,11333
Nayagarh,January,63,1891,4456,6347
Nuapada,January,609,2929,6568,9497
Puri,January,3,0,5347,5347
Rayagada,January,3033,6511,17616,24127
Sambalpur,January,750,5911,7500,13411
Sonepur,January,55,442,3374,3816
Sundargarh,January,656,2320,19951,22271
Angul,February,434,3126,12557,15683
Balasore,February,36,5594,10860,16454
Bargarh,February,46,2802,11026,13828
Bhadrak,February,19,361,9455,9816
Bolangir,February,400,2288,13761,16049
Boudh,February,69,805,1602,2407
Cuttack,February,23,249,14333,14582
Deogarh,February,190,1078,5196,6274
Dhenkanal,February,141,2116,12181,14297
Gajpati,February,330,1942,5518,7460
Ganjam,February,396,3863,27367,31230
J.S PUR,February,10,1331,8118,9449
Jajpur,February,120,268,12840,13108
Jharsuguda,February,23,1982,2791,4773
Kalahandi,February,1114,3729,20404,24133
Kandhamal,February,1134,3337,13958,17295
Kendrapada,February,10,25,8653,8678
Keonjhar,February,1041,5351,19771,25122
Khurda,February,59,1243,9149,10392
Koraput,February,1227,4936,7136,12072
Malkangiri,February,1418,985,8914,9899
Mayurbhanj,February,272,7825,19141,26966
Nawarangpur,February,765,2991,8738,11729
Nayagarh,February,70,1247,5335,6582
Nuapada,February,632,2408,6786,9194
Puri,February,2,0,5346,5346
Rayagada,February,3159,4082,20141,24223
Sambalpur,February,499,5388,8101,13489
Sonepur,February,30,603,3811,4414
Sundargarh,February,640,1764,22269,24033
Angul,March,652,4075,13905,17980
Balasore,March,58,4787,10722,15509
Bargarh,March,29,3486,10683,14169
Bhadrak,March,33,389,9302,9691
Bolangir,March,286,942,12978,13920
Boudh,March,60,860,2242,3102
Cuttack,March,46,304,12858,13162
Deogarh,March,217,1028,5164,6192
Dhenkanal,March,176,2560,11432,13992
Gajpati,March,516,2476,5628,8104
Ganjam,March,410,2721,26518,29239
J.S PUR,March,11,1347,7151,8498
Jajpur,March,100,334,12215,12549
Jharsuguda,March,17,1822,2814,4636
Kalahandi,March,1291,4773,20273,25046
Kandhamal,March,1400,4452,16956,21408
Kendrapada,March,10,30,8093,8123
Keonjhar,March,921,5243,20302,25545
Khurda,March,77,1016,8224,9240
Koraput,March,1963,7882,10086,17968
Malkangiri,March,1022,896,7850,8746
Mayurbhanj,March,496,9331,22119,31450
Nawarangpur,March,855,2793,9502,12295
Nayagarh,March,67,1134,5377,6511
Nuapada,March,570,2109,6290,8399
Puri,March,2,0,5465,5465
Rayagada,March,3486,3935,21439,25374
Sambalpur,March,688,6097,8802,14899
Sonepur,March,38,820,4493,5313
Sundargarh,March,705,1778,23950,25728
Angul,April,562,4880,10746,15626
Balasore,April,59,6512,11484,17996
Bargarh,April,44,2365,10678,13043
Bhadrak,April,26,190,8798,8988
Bolangir,April,289,1143,11878,13021
Boudh,April,48,285,1409,1694
Cuttack,April,24,251,11501,11752
Deogarh,April,192,680,4061,4741
Dhenkanal,April,240,2212,10900,13112
Gajpati,April,536,2941,5975,8916
Ganjam,April,403,1078,25163,26241
J.S PUR,April,7,825,6388,7213
Jajpur,April,83,94,11013,11107
Jharsuguda,April,13,946,2321,3267
Kalahandi,April,1171,7792,21022,28814
Kandhamal,April,1134,4516,14317,18833
Kendrapada,April,11,8,8491,8499
Keonjhar,April,1165,5848,19478,25326
Khurda,April,101,893,8720,9613
Koraput,April,1698,5613,8466,14079
Malkangiri,April,871,1386,6965,8351
Mayurbhanj,April,687,7364,18250,25614
Nawarangpur,April,836,2725,9611,12336
Nayagarh,April,65,712,4525,5237
Nuapada,April,490,1676,6581,8257
Puri,April,1,0,5419,5419
Rayagada,April,3420,4607,19764,24371
Sambalpur,April,719,6310,7986,14296
Sonepur,April,34,585,3888,4473
Sundargarh,April,506,2072,19044,21116
Angul,May,409,4209,11538,15747
Balasore,May,59,6620,11807,18427
Bargarh,May,24,1492,9919,11411
Bhadrak,May,31,327,10531,10858
Bolangir,May,182,89,11185,11274
Boudh,May,80,445,1614,2059
Cuttack,May,46,465,13165,13630
Deogarh,May,447,3350,4752,8102
Dhenkanal,May,141,1960,9080,11040
Gajpati,May,732,4536,7043,11579
Ganjam,May,489,2554,25974,28528
J.S PUR,May,8,438,6672,7110
Jajpur,May,86,600,11554,12154
Jharsuguda,May,9,1058,2399,3457
Kalahandi,May,1088,5921,20927,26848
Kandhamal,May,1133,3570,15275,18845
Kendrapada,May,12,14,8931,8945
Keonjhar,May,1537,4611,21430,26041
Khurda,May,95,641,8523,9164
Koraput,May,2162,6156,10481,16637
Malkangiri,May,1137,1463,7235,8698
Mayurbhanj,May,638,6554,16433,22987
Nawarangpur,May,968,3565,9449,13014
Nayagarh,May,58,1117,4296,5413
Nuapada,May,527,2336,5446,7782
Puri,May,5,0,5917,5917
Rayagada,May,3892,6440,21518,27958
Sambalpur,May,552,5835,7188,13023
Sonepur,May,21,331,3961,4292
Sundargarh,May,619,2743,19384,22127
Angul,June,379,4685,10517,15202
Balasore,June,27,6407,12509,18916
Bargarh,June,24,646,11181,11827
Bhadrak,June,18,504,10976,11480
Bolangir,June,146,959,9906,10865
Boudh,June,94,769,1844,2613
Cuttack,June,28,447,11903,12350
Deogarh,June,333,3584,4257,7841
Dhenkanal,June,109,2068,8776,10844
Gajpati,June,691,4347,7137,11484
Ganjam,June,467,2338,29691,32029
J.S PUR,June,14,156,7167,7323
Jajpur,June,72,789,10715,11504
Jharsuguda,June,6,947,2325,3272
Kalahandi,June,1168,2830,19493,22323
Kandhamal,June,1017,4314,13069,17383
Kendrapada,June,14,0,9889,9889
Keonjhar,June,1290,5225,19056,24281
Khurda,June,67,1079,8751,9830
Koraput,June,2965,7274,9965,17239
Malkangiri,June,1014,1683,7609,9292
Mayurbhanj,June,601,5429,15169,20598
Nawarangpur,June,884,3965,9634,13599
Nayagarh,June,28,2134,4478,6612
Nuapada,June,602,2893,5588,8481
Puri,June,2,0,4995,4995
Rayagada,June,4243,8786,20091,28877
Sambalpur,June,418,4794,6902,11696
Sonepur,June,21,443,4945,5388
Sundargarh,June,630,2972,18698,21670
Angul,July,584,6370,13251,19621
Balasore,July,30,7727,14160,21887
Bargarh,July,88,1420,12805,14225
Bhadrak,July,53,1090,12804,13894
Bolangir,July,429,3085,15857,18942
Boudh,July,123,1520,3107,4627
Cuttack,July,58,523,15451,15974
Deogarh,July,423,3507,6553,10060
Dhenkanal,July,213,3863,12256,16119
Gajpati,July,1072,5438,9544,14982
Ganjam,July,639,3002,28261,31263
J.S PUR,July,28,428,8355,8783
Jajpur,July,133,1234,13138,14372
Jharsuguda,July,31,2237,3708,5945
Kalahandi,July,1939,2775,23398,26173
Kandhamal,July,1654,6932,17457,24389
Kendrapada,July,19,0,11298,11298
Keonjhar,July,3361,10680,22850,33530
Khurda,July,133,1328,9873,11201
Koraput,July,3262,9290,10021,19311
Malkangiri,July,1747,2575,9809,12384
Mayurbhanj,July,1156,10528,21882,32410
Nawarangpur,July,1320,6294,11771,18065
Nayagarh,July,99,3558,7064,10622
Nuapada,July,748,3716,7130,10846
Puri,July,1,0,7273,7273
Rayagada,July,5302,10696,21572,32268
Sambalpur,July,675,6420,8449,14869
Sonepur,July,83,181,6109,6290
Sundargarh,July,1184,6046,27747,33793
Angul,August,1023,7984,18272,26256
Balasore,August,41,8499,16765,25264
Bargarh,August,160,3022,16681,19703
Bhadrak,August,37,1326,10680,12006
Bolangir,August,542,8079,25156,33235
Boudh,August,300,2099,3598,5697
Cuttack,August,82,645,16951,17596
Deogarh,August,764,5160,7332,12492
Dhenkanal,August,244,5773,14965,20738
Gajpati,August,971,4812,10025,14837
Ganjam,August,925,6672,37843,44515
J.S PUR,August,27,546,10068,10614
Jajpur,August,135,1872,17719,19591
Jharsuguda,August,83,4449,5571,10020
Kalahandi,August,2934,7590,28290,35880
Kandhamal,August,2266,9691,21492,31183
Kendrapada,August,21,5,12730,12735
Keonjhar,August,3201,13709,31378,45087
Khurda,August,178,3787,13166,16953
Koraput,August,4872,13683,13747,27430
Malkangiri,August,1561,4432,12918,17350
Mayurbhanj,August,1248,11790,26030,37820
Nawarangpur,August,1376,5457,14352,19809
Nayagarh,August,110,4055,8018,12073
Nuapada,August,928,6315,9887,16202
Puri,August,4,794,11180,11974
Rayagada,August,7671,18030,30553,48583
Sambalpur,August,1218,8647,10641,19288
Sonepur,August,83,181,6109,6290
Sundargarh,August,1913,11179,35173,46352
Angul,September,707,7252,19286,26538
Balasore,September,41,8499,16765,25264
Bargarh,September,142,2430,2364,4794
Bhadrak,September,41,1296,10242,11538
Bolangir,September,547,9380,28231,37611
Boudh,September,318,3449,3263,6712
Cuttack,September,63,789,16763,17552
Deogarh,September,612,4962,7629,12591
Dhenkanal,September,184,7348,15874,23222
Gajpati,September,862,5259,8084,13343
Ganjam,September,739,6749,37645,44394
J.S PUR,September,24,903,10571,11474
Jajpur,September,97,2047,16182,18229
Jharsuguda,September,51,5904,7536,13440
Kalahandi,September,2968,11468,31658,43126
Kandhamal,September,2770,11775,28461,40236
Kendrapada,September,12,0,13043,13043
Keonjhar,September,3033,12337,34149,46486
Khurda,September,131,2384,12508,14892
Koraput,September,3856,14448,14134,28582
Malkangiri,September,1371,5356,13157,18513
Mayurbhanj,September,673,13874,26879,40753
Nawarangpur,September,1704,8846,18188,27034
Nayagarh,September,106,3499,6929,10428
Nuapada,September,982,5322,10407,15729
Puri,September,4,3939,11604,15543
Rayagada,September,6200,16277,31755,48032
Sambalpur,September,918,10223,15910,26133
Sonepur,September,98,1067,11211,12278
Sundargarh,September,1506,12726,39738,52464
Angul,October,738,6623,15628,22251
Balasore,October,15,7441,14437,21878
Bargarh,October,172,2638,12753,15391
Bhadrak,October,21,628,9649,10277
Bolangir,October,448,6262,19969,26231
Boudh,October,180,2304,3458,5762
Cuttack,October,38,456,15628,16084
Deogarh,October,477,3469,6252,9721
Dhenkanal,October,120,6687,13209,19896
Gajpati,October,545,4578,5693,10271
Ganjam,October,488,4925,27632,32557
J.S PUR,October,22,939,9339,10278
Jajpur,October,67,1739,12786,14525
Jharsuguda,October,34,3105,3810,6915
Kalahandi,October,2515,13586,28136,41722
Kandhamal,October,2019,8899,19707,28606
Kendrapada,October,12,0,12262,12262
Keonjhar,October,1476,10697,25002,35699
Khurda,October,76,1789,10279,12068
Koraput,October,2848,10540,13409,23949
Malkangiri,October,688,1595,6110,7705
Mayurbhanj,October,715,14630,22557,37187
Nawarangpur,October,1268,6226,12585,18811
Nayagarh,October,94,3309,5747,9056
Nuapada,October,812,5253,6712,11965
Puri,October,1,3957,9520,13477
Rayagada,October,3622,14051,22295,36346
Sambalpur,October,843,7140,11076,18216
Sonepur,October,64,1642,8667,10309
Sundargarh,October,1849,13247,31054,44301
Angul,November,824,6101,12350,18451
Balasore,November,25,7387,11523,18910
Bargarh,November,108,1557,12618,14175
Bhadrak,November,26,665,9501,10166
Bolangir,November,483,4551,16563,21114
Boudh,November,146,1060,2318,3378
Cuttack,November,20,506,12897,13403
Deogarh,November,787,4064,5991,10055
Dhenkanal,November,177,6654,11074,17728
Gajpati,November,424,3444,4638,8082
Ganjam,November,460,4664,28814,33478
J.S PUR,November,17,830,8862,9692
Jajpur,November,78,1561,9987,11548
Jharsuguda,November,25,1835,2404,4239
Kalahandi,November,1790,10499,21556,32055
Kandhamal,November,1208,5239,10816,16055
Kendrapada,November,9,0,10820,10820
Keonjhar,November,1228,9696,17948,27644
Khurda,November,65,1729,9087,10816
Koraput,November,932,4428,4821,9249
Malkangiri,November,923,2093,8492,10585
Mayurbhanj,November,818,10856,16751,27607
Nawarangpur,November,1313,5229,8104,13333
Nayagarh,November,147,3428,5573,9001
Nuapada,November,576,4036,5045,9081
Puri,November,4,3419,9536,12955
Rayagada,November,3032,10501,17346,27847
Sambalpur,November,951,5303,8015,13318
Sonepur,November,46,1095,5581,6676
Sundargarh,November,3390,10739,22401,33140
Angul,December,878,6067,11060,17127
Balasore,December,21,6589,10937,17526
Bargarh,December,66,1277,11239,12516
Bhadrak,December,24,480,8015,8495
Bolangir,December,451,5022,15848,20870
Boudh,December,124,1084,1640,2724
Cuttack,December,32,1298,13398,14696
Deogarh,December,1205,4327,4895,9222
Dhenkanal,December,208,6309,11505,17814
Gajpati,December,285,3086,4533,7619
Ganjam,December,406,4422,27619,32041
J.S PUR,December,14,608,8427,9035
Jajpur,December,70,2053,10500,12553
Jharsuguda,December,17,1605,2165,3770
Kalahandi,December,1283,9306,18865,28171
Kandhamal,December,1267,6567,11575,18142
Kendrapada,December,8,0,10115,10115
Keonjhar,December,1398,7808,17408,25216
Khurda,December,34,1584,7997,9581
Koraput,December,2029,6429,8417,14846
Malkangiri,December,904,2465,7780,10245
Mayurbhanj,December,599,8756,14960,23716
Nawarangpur,December,1771,7188,8724,15912
Nayagarh,December,69,3092,5243,8335
Nuapada,December,674,4208,4619,8827
Puri,December,0,3753,10687,14440
Rayagada,December,2013,8774,15757,24531
Sambalpur,December,961,4343,7902,12245
Sonepur,December,34,835,5255,6090
Sundargarh,December,2495,8812,18231,27043
