Dist,Year,Month,TOTSP,BSE
Angul,2013,January,840,11061
Balasore,2013,January,21,11620
Bargarh.,2013,January,25,9215
BHADRAK,2013,January,11,4519
Bolangir,2013,January,318,11962
Boudh,2013,January,63,1356
Cuttack,2013,January,17,11981
Deogarh,2013,January,557,4951
Dhenkanal,2013,January,140,12278
Gajapati,2013,January,343,5469
Ganjam,2013,January,332,23894
Jagatsinghpur,2013,January,14,7592
Jajpur,2013,January,55,8891
Jharsuguda,2013,January,11,1762
Kalahandi,2013,January,1381,19291
Kandhamal,2013,January,1022,11438
Kendrapara,2013,January,6,9898
Keonjhar,2013,January,930,16554
Khurda,2013,January,38,7226
Koraput,2013,January,1656,11108
Malkangiri,2013,January,1031,9651
Mayurbhanj,2013,January,351,14882
Nawarangapur,2013,January,984,10044
Nayagarh,2013,January,50,3999
Nuapada,2013,January,596,5496
Puri,2013,January,3,7997
Rayagada,2013,January,2490,17321
Sambalpur,2013,January,850,8584
Sonepur,2013,January,39,4205
Sundargarh,2013,January,1469,17833
Angul,2013,February,610,11151
Balasore,2013,February,15,11892
Bargarh.,2013,February,15,10304
BHADRAK,2013,February,17,4346
Bolangir,2013,February,292,12784
Boudh,2013,February,98,1606
Cuttack,2013,February,25,13171
Deogarh,2013,February,325,4375
Dhenkanal,2013,February,118,12429
Gajapati,2013,February,272,5738
Ganjam,2013,February,333,23105
Jagatsinghpur,2013,February,17,7968
Jajpur,2013,February,53,9769
Jharsuguda,2013,February,12,2374
Kalahandi,2013,February,1202,19211
Kandhamal,2013,February,956,11604
Kendrapara,2013,February,4,8870
Keonjhar,2013,February,914,19618
Khurda,2013,February,37,6904
Koraput,2013,February,1825,12499
Malkangiri,2013,February,1476,11344
Mayurbhanj,2013,February,308,19429
Nawarangapur,2013,February,803,9410
Nayagarh,2013,February,79,4900
Nuapada,2013,February,557,5813
Puri,2013,February,1,7830
Rayagada,2013,February,2195,17929
Sambalpur,2013,February,974,10223
Sonepur,2013,February,27,3928
Sundargarh,2013,February,694,20611
Angul,2013,March,892,13898
Balasore,2013,March,26,12202
Bargarh.,2013,March,17,10464
BHADRAK,2013,March,21,4799
Bolangir,2013,March,299,14484
Boudh,2013,March,108,1681
Cuttack,2013,March,26,11789
Deogarh,2013,March,391,4790
Dhenkanal,2013,March,118,12249
Gajapati,2013,March,266,6051
Ganjam,2013,March,449,27674
Jagatsinghpur,2013,March,12,9002
Jajpur,2013,March,37,11143
Jharsuguda,2013,March,12,2266
Kalahandi,2013,March,1494,23160
Kandhamal,2013,March,1182,13638
Kendrapara,2013,March,10,9482
Keonjhar,2013,March,933,21836
Khurda,2013,March,37,7157
Koraput,2013,March,1727,13301
Malkangiri,2013,March,1180,10579
Mayurbhanj,2013,March,331,21838
Nawarangapur,2013,March,888,13036
Nayagarh,2013,March,86,5484
Nuapada,2013,March,560,6768
Puri,2013,March,2,8698
Rayagada,2013,March,2117,19428
Sambalpur,2013,March,834,9931
Sonepur,2013,March,55,4450
Sundargarh,2013,March,750,20580
Angul,2013,April,660,13810
Balasore,2013,April,22,12546
Bargarh.,2013,April,13,9432
BHADRAK,2013,April,24,5522
Bolangir,2013,April,361,13235
Boudh,2013,April,78,1581
Cuttack,2013,April,27,13340
Deogarh,2013,April,565,5145
Dhenkanal,2013,April,201,13211
Gajapati,2013,April,352,6218
Ganjam,2013,April,441,28945
Jagatsinghpur,2013,April,19,9032
Jajpur,2013,April,42,11329
Jharsuguda,2013,April,14,2827
Kalahandi,2013,April,1711,23313
Kandhamal,2013,April,1313,14696
Kendrapara,2013,April,13,10455
Keonjhar,2013,April,1180,22546
Khurda,2013,April,36,7203
Koraput,2013,April,2054,13536
Malkangiri,2013,April,704,9634
Mayurbhanj,2013,April,553,23695
Nawarangapur,2013,April,1021,11730
Nayagarh,2013,April,89,5511
Nuapada,2013,April,400,5860
Puri,2013,April,7,7964
Rayagada,2013,April,2351,18246
Sambalpur,2013,April,819,9423
Sonepur,2013,April,40,4675
Sundargarh,2013,April,846,18357
Angul,2013,May,490,13915
Balasore,2013,May,14,12941
Bargarh.,2013,May,15,8769
BHADRAK,2013,May,24,5629
Bolangir,2013,May,408,13659
Boudh,2013,May,78,1732
Cuttack,2013,May,35,13853
Deogarh,2013,May,375,4552
Dhenkanal,2013,May,124,11331
Gajapati,2013,May,437,8806
Ganjam,2013,May,479,31000
Jagatsinghpur,2013,May,15,9611
Jajpur,2013,May,47,12308
Jharsuguda,2013,May,17,3416
Kalahandi,2013,May,1404,21174
Kandhamal,2013,May,1688,16548
Kendrapara,2013,May,12,11254
Keonjhar,2013,May,1217,23138
Khurda,2013,May,96,9077
Koraput,2013,May,2259,16721
Malkangiri,2013,May,595,9287
Mayurbhanj,2013,May,706,27194
Nawarangapur,2013,May,1119,12303
Nayagarh,2013,May,152,7341
Nuapada,2013,May,507,7895
Puri,2013,May,12,11213
Rayagada,2013,May,2863,22281
Sambalpur,2013,May,691,10375
Sonepur,2013,May,42,4701
Sundargarh,2013,May,618,19101
Angul,2013,June,540,17599
Balasore,2013,June,30,15942
Bargarh.,2013,June,25,16169
BHADRAK,2013,June,20,6027
Bolangir,2013,June,392,19273
Boudh,2013,June,125,3041
Cuttack,2013,June,35,15800
Deogarh,2013,June,240,5581
Dhenkanal,2013,June,214,15539
Gajapati,2013,June,536,9006
Ganjam,2013,June,392,30288
Jagatsinghpur,2013,June,20,10939
Jajpur,2013,June,58,14401
Jharsuguda,2013,June,19,4397
Kalahandi,2013,June,1344,22870
Kandhamal,2013,June,1757,19804
Kendrapara,2013,June,11,12670
Keonjhar,2013,June,1868,30577
Khurda,2013,June,120,9056
Koraput,2013,June,2418,16984
Malkangiri,2013,June,776,9559
Mayurbhanj,2013,June,1344,34207
Nawarangapur,2013,June,1102,13272
Nayagarh,2013,June,114,8361
Nuapada,2013,June,502,9436
Puri,2013,June,5,13157
Rayagada,2013,June,3057,19733
Sambalpur,2013,June,511,11217
Sonepur,2013,June,32,5542
Sundargarh,2013,June,849,26485
Angul,2013,July,1437,24848
Balasore,2013,July,47,16475
Bargarh.,2013,July,231,17470
BHADRAK,2013,July,37,6052
Bolangir,2013,July,902,29822
Boudh,2013,July,252,5369
Cuttack,2013,July,49,20918
Deogarh,2013,July,620,7995
Dhenkanal,2013,July,514,18635
Gajapati,2013,July,559,9682
Ganjam,2013,July,713,35116
Jagatsinghpur,2013,July,42,11124
Jajpur,2013,July,99,16627
Jharsuguda,2013,July,103,6596
Kalahandi,2013,July,2810,31806
Kandhamal,2013,July,2624,24680
Kendrapara,2013,July,8,14007
Keonjhar,2013,July,2601,35356
Khurda,2013,July,106,10114
Koraput,2013,July,3568,23670
Malkangiri,2013,July,1292,15285
Mayurbhanj,2013,July,1308,33349
Nawarangapur,2013,July,1545,17301
Nayagarh,2013,July,210,9883
Nuapada,2013,July,723,13596
Puri,2013,July,16,14354
Rayagada,2013,July,4062,25642
Sambalpur,2013,July,1337,14704
Sonepur,2013,July,307,11508
Sundargarh,2013,July,2182,43902
Angul,2013,August,1123,22822
Balasore,2013,August,35,14571
Bargarh.,2013,August,276,19368
BHADRAK,2013,August,32,5592
Bolangir,2013,August,971,26658
Boudh,2013,August,216,4740
Cuttack,2013,August,58,19555
Deogarh,2013,August,500,6495
Dhenkanal,2013,August,292,17105
Gajapati,2013,August,573,9772
Ganjam,2013,August,691,42263
Jagatsinghpur,2013,August,30,11817
Jajpur,2013,August,88,17799
Jharsuguda,2013,August,107,5336
Kalahandi,2013,August,2139,27400
Kandhamal,2013,August,1914,18731
Kendrapara,2013,August,13,14230
Keonjhar,2013,August,1669,31134
Khurda,2013,August,91,12584
Koraput,2013,August,2939,23910
Malkangiri,2013,August,1040,11970
Mayurbhanj,2013,August,700,29782
Nawarangapur,2013,August,1473,15949
Nayagarh,2013,August,165,10811
Nuapada,2013,August,671,12124
Puri,2013,August,15,15029
Rayagada,2013,August,3657,25189
Sambalpur,2013,August,1283,12796
Sonepur,2013,August,216,8282
Sundargarh,2013,August,1682,35224
Angul,2013,September,940,17461
Balasore,2013,September,32,13317
Bargarh.,2013,September,170,16864
BHADRAK,2013,September,34,5627
Bolangir,2013,September,887,25391
Boudh,2013,September,195,5251
Cuttack,2013,September,41,18947
Deogarh,2013,September,470,6568
Dhenkanal,2013,September,259,17349
Gajapati,2013,September,542,10807
Ganjam,2013,September,392,36203
Jagatsinghpur,2013,September,30,12123
Jajpur,2013,September,62,16130
Jharsuguda,2013,September,58,5007
Kalahandi,2013,September,1842,27060
Kandhamal,2013,September,1804,19309
Kendrapara,2013,September,8,14094
Keonjhar,2013,September,1430,30846
Khurda,2013,September,52,10549
Koraput,2013,September,2143,21508
Malkangiri,2013,September,939,12090
Mayurbhanj,2013,September,471,30583
Nawarangapur,2013,September,1266,14564
Nayagarh,2013,September,143,9748
Nuapada,2013,September,528,9901
Puri,2013,September,10,16586
Rayagada,2013,September,2870,23561
Sambalpur,2013,September,1044,12806
Sonepur,2013,September,77,7561
Sundargarh,2013,September,1591,36196
Angul,2013,October,1075,19681
Balasore,2013,October,23,12839
Bargarh.,2013,October,85,15948
BHADRAK,2013,October,34,5064
Bolangir,2013,October,703,23184
Boudh,2013,October,177,5644
Cuttack,2013,October,44,18585
Deogarh,2013,October,410,6062
Dhenkanal,2013,October,150,15717
Gajapati,2013,October,616,8972
Ganjam,2013,October,405,25439
Jagatsinghpur,2013,October,41,12323
Jajpur,2013,October,47,14668
Jharsuguda,2013,October,84,4268
Kalahandi,2013,October,1478,25415
Kandhamal,2013,October,1393,16955
Kendrapara,2013,October,11,13913
Keonjhar,2013,October,1305,26317
Khurda,2013,October,23,10268
Koraput,2013,October,1512,18142
Malkangiri,2013,October,739,10880
Mayurbhanj,2013,October,464,28198
Nawarangapur,2013,October,1375,12327
Nayagarh,2013,October,109,8205
