STATION,NAME,DATE,TMAX,TMIN
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",1/1/2000,49,30
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",1/2/2000,60,31
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",1/3/2000,63,53
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",1/4/2000,68,47
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",1/5/2000,47,26
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",1/6/2000,43,20
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",1/7/2000,50,28
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",1/8/2000,39,24
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",1/9/2000,53,35
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",1/10/2000,59,41
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",1/11/2000,51,40
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",1/12/2000,48,32
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",1/13/2000,37,18
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",1/14/2000,23,13
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",1/15/2000,28,15
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",1/16/2000,46,22
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",1/17/2000,21,7
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",1/18/2000,21,4
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",1/19/2000,31,9
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",1/20/2000,26,19
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",1/21/2000,24,10
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",1/22/2000,21,8
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",1/23/2000,28,13
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",1/24/2000,42,27
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",1/25/2000,30,24
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",1/26/2000,33,22
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",1/27/2000,22,11
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",1/28/2000,24,9
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",1/29/2000,40,14
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",1/30/2000,37,7
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",1/31/2000,36,28
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",2/1/2000,37,24
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",2/2/2000,30,21
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",2/3/2000,32,15
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",2/4/2000,33,25
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",2/5/2000,37,25
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",2/6/2000,38,27
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",2/7/2000,43,27
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",2/8/2000,34,13
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",2/9/2000,47,13
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",2/10/2000,50,25
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",2/11/2000,51,29
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",2/12/2000,33,18
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",2/13/2000,39,17
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",2/14/2000,50,37
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",2/15/2000,42,25
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",2/16/2000,51,25
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",2/17/2000,40,25
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",2/18/2000,35,26
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",2/19/2000,33,30
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",2/20/2000,39,29
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",2/21/2000,44,27
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",2/22/2000,53,24
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",2/23/2000,56,26
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",2/24/2000,66,37
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",2/25/2000,50,40
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",2/26/2000,44,39
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",2/27/2000,54,42
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",2/28/2000,60,40
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",2/29/2000,56,35
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/1/2000,52,29
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/2/2000,48,34
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/3/2000,49,35
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/4/2000,54,32
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/5/2000,55,35
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/6/2000,56,39
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/7/2000,68,30
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/8/2000,70,41
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/9/2000,73,46
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/10/2000,60,46
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/11/2000,46,38
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/12/2000,50,35
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/13/2000,48,31
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/14/2000,56,28
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/15/2000,69,32
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/16/2000,65,48
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/17/2000,53,28
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/18/2000,41,21
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/19/2000,44,27
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/20/2000,47,31
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/21/2000,45,38
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/22/2000,51,36
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/23/2000,68,31
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/24/2000,70,36
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/25/2000,68,38
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/26/2000,63,40
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/27/2000,58,31
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/28/2000,58,46
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/29/2000,52,41
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/30/2000,56,36
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/31/2000,56,30
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",4/1/2000,65,29
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",4/2/2000,67,40
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",4/3/2000,66,57
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",4/4/2000,65,47
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",4/5/2000,47,32
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",4/6/2000,71,31
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",4/7/2000,64,42
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",4/8/2000,78,47
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",4/9/2000,48,28
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",4/10/2000,53,34
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",4/11/2000,41,32
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",4/12/2000,49,32
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",4/13/2000,51,28
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",4/14/2000,57,30
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",4/15/2000,61,41
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",4/16/2000,78,51
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",4/17/2000,51,39
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",4/18/2000,47,36
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",4/19/2000,62,41
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",4/20/2000,63,49
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",4/21/2000,49,44
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",4/22/2000,49,43
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",4/23/2000,49,44
