,district,median,average,st_dev
1,Angul,17.44261371,28.86935106,58.2887023
2,Balasore,37.50731762,38.48724296,25.60333307
3,Bhadrak,23.74405006,39.87179197,51.95180537
4,Bolangir,15.82277692,21.38191468,20.94107344
5,Baragarh,28.38202598,36.11110507,32.23056996
6,Boudh,31.72742676,41.67035934,40.98696963
7,Cuttack,22.94865183,30.11232721,23.96248786
8,Dhenkanal,24.30133114,36.78166962,51.83047564
9,Deogarh,26.85138518,30.96389889,24.64068557
10,Ganjam,14.57045126,18.30646139,14.54368912
11,Gajapati,15.34715581,25.4584879,26.0203394
12,Jagatsingpur,23.17917621,38.19899694,40.04770202
13,Jajpur,20.41226675,25.88444446,21.3963803
14,Jharsuguda,29.48319591,42.48194489,55.32360329
15,Kalahandi,11.97613344,14.84986947,12.22415984
16,Koaraput,20.96287143,24.89899665,22.92927254
17,Keonjhar,11.37915138,16.09247906,14.3050293
18,Kandhamal,15.93702824,17.71399417,13.60477171
19,Kendrapara,57.4089296,76.8660344,82.4272232
20,Khurda,24.71087094,31.2315898,25.55413713
21,Mayurbhanj,24.54335618,33.72586349,48.36293053
22,Malkangiri,23.04105644,32.39050209,29.65903756
23,Nuapara,19.54603535,28.71548588,32.03377564
24,Nawarangpur,26.04476447,39.08108684,40.94554549
25,Nayagarh,24.68901746,29.20539038,23.49080766
26,Puri,43.79263843,59.05740744,60.8895423
27,Rayagada,19.06294222,21.93969051,18.39212938
28,Sambalpur,18.6182652,19.94115893,15.87046029
29,Sonepur,31.47067286,37.28823598,30.2485
30,Sundargarh,23.81112937,27.28366657,21.72975514
,AVERAGE,24.2904896,32.16204827,32.68116316
