,district,median,average,st_dev
1,Angul,20.85553714,30.4404109,46.57838041
2,Balasore,33.96904425,40.47839787,32.29073758
3,Bhadrak,23.29469783,40.42473495,57.47797772
4,Bolangir,23.56537816,29.3317403,29.21138344
5,Baragarh,34.73190923,49.43248274,52.45447199
6,Boudh,42.17885701,51.52046598,42.99687509
7,Cuttack,20.98614274,30.61675429,27.97819401
8,Dhenkanal,26.33765584,42.6973818,49.78857141
9,Deogarh,28.57146205,35.28019759,31.42930106
10,Ganjam,15.80654839,22.21729922,19.51985529
11,Gajapati,15.05252034,23.96032326,28.36124627
12,Jagatsingpur,26.5169905,41.39442889,43.02657043
13,Jajpur,29.97762824,32.1443897,25.14216203
14,Jharsuguda,37.53462307,49.6001778,53.59519257
15,Kalahandi,11.78389433,15.9778986,14.12857076
16,Koaraput,18.61773708,22.71072923,19.75281674
17,Keonjhar,12.77956743,16.50753796,15.01017188
18,Kandhamal,13.8727081,18.75952047,16.36562626
19,Kendrapara,56.9649225,87.53071161,88.52571031
20,Khurda,31.11274306,38.62487079,34.1097003
21,Mayurbhanj,27.21147777,37.13273191,47.49516307
22,Malkangiri,20.55423878,32.46812707,37.52417137
23,Nuapara,20.35724412,28.18958848,29.8608123
24,Nawarangpur,28.19883249,39.69947002,42.37858284
25,Nayagarh,24.19774765,32.08182379,25.83998427
26,Puri,58.80673796,77.16268772,79.92083705
27,Rayagada,19.81701808,22.28785263,18.84246387
28,Sambalpur,17.68187991,23.18884022,18.90314576
29,Sonepur,37.24363983,49.83550064,45.0490861
30,Sundargarh,20.7170922,25.76025075,20.92901676
,AVERAGE,26.64321587,36.24857757,36.48289263
